family	size	variant	queries	complete_timing_runs	resource_failures	raw_by_query	lifecycle_ns	lifecycle_ns_min	lifecycle_ns_max	prepare_ns	prepare_ns_min	prepare_ns_max	prepared_drop_ns	prepared_drop_ns_min	prepared_drop_ns_max	setup_ns	setup_ns_min	setup_ns_max	execution_ns	execution_ns_min	execution_ns_max	observe_ns	observe_ns_min	observe_ns_max	result_drop_ns	result_drop_ns_min	result_drop_ns_max	query_drop_ns	query_drop_ns_min	query_drop_ns_max	request_ns	request_ns_min	request_ns_max	answer_drop_ns	answer_drop_ns_min	answer_drop_ns_max	first_query_ns	first_query_ns_min	first_query_ns_max	first_answer_ns	first_answer_ns_min	first_answer_ns_max	memory_complete	max_rss_kib	before_rss_kib	prepared_rss_kib	final_rss_kib	post_answer_rss_kib
unsupported	6	support	4	5	0	[486, 0, 162, 486]	95714426	92401182	103874598	7796743	7525524	7885956	1321449	1260560	1721920	322816	307620	427443	83255259	80143580	90522535	2294546	2168920	2397059	43057	40686	44170	262014	254669	300844	86252794	83108841	93736884	350789	319553	535655	36779299	35662374	37615350	525288	477190	624464	True	34560	4780	30684	18060	[34384, 34384, 34384, 34452]
weak	4	conflict	1	5	0	[81]	13620719	13460682	14592854	7797886	7420326	8051346	1141682	932294	1176329	228801	221286	239039	4424336	4316476	5175415	74839	65025	77167	2735	2564	3090	15280	14027	95971	4744011	4635700	5589208	5253	4884	5938	4748895	4640953	5595146	405724	389904	429759	True	33152	4796	30720	16588	[32980]
weak	4	conflict	4	5	0	[81, 27, 27, 81]	20992018	20012163	21307331	7597116	7340498	8029192	1077974	914079	1088873	250527	234124	280596	11699029	11062257	11986413	188635	175454	193199	7842	7045	8060	40963	37793	42805	12185979	11576841	12487284	14502	13580	16483	4870141	4650114	4987324	418023	387697	474784	True	33152	4740	30660	16676	[32980, 33044, 33044, 33068]
weak	4	generated-active-indexed	1	5	0	[81]	370528	343146	382206	44725	26967	49268	204	81	288	378	253	515	232424	227833	241868	25116	24290	27313	32701	30929	36482	10638	10452	12569	308869	298808	318401	16920	15875	18411	325598	316081	334276	153293	147666	158075	True	5760	4796	5060	5360	[5360]
weak	4	generated-active-indexed	4	5	0	[81, 27, 27, 81]	1228959	1195352	1379840	41194	36483	46938	2730	2275	2995	37772	33775	40524	896709	856641	998644	101007	94336	116151	85840	76203	98632	35478	34700	44723	1157938	1126262	1311946	22994	20886	23705	289111	276695	303844	126029	121063	133745	True	6144	4792	5060	5688	[5360, 5536, 5688, 5688]
weak	4	generated-global-scan	1	5	0	[81]	373883	348715	412559	40465	30635	44178	199	108	271	371	283	383	272929	246883	302361	19390	16967	21898	29216	25102	29455	8020	6681	8764	337359	302679	366463	5447	5097	5781	343140	307831	371910	243867	219997	271595	True	5888	4756	5084	5348	[5348]
weak	4	generated-global-scan	4	5	0	[81, 27, 27, 81]	971968	890047	989380	44584	42632	51359	2103	1581	2244	26217	25292	27878	709832	640307	711660	59668	58696	64006	71827	66416	76321	25912	23370	28243	904324	825399	918245	21834	20435	23354	345261	320256	365666	252674	233200	259293	True	5888	4744	5072	5492	[5340, 5340, 5384, 5492]
weak	4	generic-global-scan	1	5	0	[81]	377739	330259	429099	31143	26112	41515	106	96	322	316	258	434	288030	245890	320233	17657	17260	19875	26808	24711	29670	7386	6754	8624	343925	299326	381892	5104	4725	5942	349022	304051	387484	258177	218110	289431	True	5888	4784	5052	5316	[5316]
weak	4	generic-global-scan	4	5	0	[81, 27, 27, 81]	920484	907968	960760	39004	23776	42200	1923	1586	2081	27213	25842	29046	665213	642579	703194	50072	48889	51594	77070	68995	103583	33519	32669	35373	868171	857429	905525	14388	14186	15620	352877	337395	376165	247673	218972	255236	True	6016	4788	5116	5536	[5380, 5380, 5456, 5536]
weak	4	native	1	5	0	[81]	69456	60934	73397	1662	1277	3912	298	194	356	511	463	804	4736	4516	5933	48577	42424	51300	2051	1877	2413	162	137	341	62199	53719	65979	4758	4203	5574	67391	57922	71379	6585	5385	8983	True	5248	4824	4828	4884	[4884]
weak	4	native	4	5	0	[81, 27, 27, 81]	140354	127131	157616	1521	1311	2400	177	169	300	740	588	757	11298	10575	11925	94572	85992	100960	5561	5354	6148	377	269	445	124255	113801	132657	13187	11850	31544	60214	55334	79274	4702	4174	6168	True	5376	4808	4812	4880	[4868, 4868, 4868, 4880]
weak	4	support	1	5	0	[81]	13434699	13332363	14380576	7625288	7534413	8051733	1046068	973952	1119016	221625	195068	237029	4487535	4457288	4899252	72462	70471	78823	3100	2764	3368	16671	15165	17081	4819182	4767370	5225851	5390	4654	5688	4823998	4772024	5231245	396110	336420	427442	True	33024	4780	30704	16572	[32964]
weak	4	support	4	5	0	[81, 27, 27, 81]	21400756	20544026	22696874	7872149	7607937	9107143	1169826	1040158	1466276	247878	228374	283643	11640466	11412661	11989510	181093	174036	189621	7481	7257	7905	40837	40437	41332	12142802	11881961	12470780	14739	13970	14990	4786376	4660187	4832804	421424	371531	445999	True	33152	4764	30748	16700	[33068, 33068, 33068, 33092]
weak	6	conflict	1	5	0	[729]	66096350	63416283	74316076	7548565	7355279	7905239	1313913	1197531	1862812	265377	239860	293177	55078398	53114434	63932674	817432	768159	972420	26600	26172	96667	189680	166556	208689	56410258	54487380	65428607	72655	69309	84609	56494867	54559157	65497916	458009	418087	491395	True	34176	4796	30708	17664	[34052]
weak	6	conflict	4	5	0	[729, 243, 243, 729]	162392714	149365112	169633571	7922818	7321678	8069513	1424162	1249240	2663373	275948	268459	345404	149633468	137556248	155221580	2209486	1994215	2275189	83636	69975	129796	532685	495364	1035609	152846032	140607418	159077520	188708	185072	260727	59102486	54866699	60459532	430058	413202	496763	True	34432	4936	30836	17828	[34144, 34144, 34144, 34220]
