family	size	execution	policy	access	prepare_ns	prepare_ns_min	prepare_ns_max	prepared_drop_ns	prepared_drop_ns_min	prepared_drop_ns_max	harness_ns	harness_ns_min	harness_ns_max	first_query_ns	first_query_ns_min	first_query_ns_max	reused_query_ns	reused_query_ns_min	reused_query_ns_max	lifecycle_ns	lifecycle_ns_min	lifecycle_ns_max	setup_ns	setup_ns_min	setup_ns_max	execution_ns	execution_ns_min	execution_ns_max	observe_ns	observe_ns_min	observe_ns_max	engine_drop_ns	engine_drop_ns_min	engine_drop_ns_max	answer_drop_ns	answer_drop_ns_min	answer_drop_ns_max	work_applications	work_candidate_visits	work_generic_template_visits	work_structural_tests	work_binding_slot_copies	work_pool_entries	work_index_bucket_entries	work_index_lookups	work_index_repairs	work_index_inserts	work_index_removes	work_key_visits	work_key_template_visits	work_key_normalization_requests	work_key_normalization_allocations	work_dependency_visits	work_activation_pushes	work_history_checks	work_pairs	work_dereferences	work_map_visits	work_map_allocations	work_term_requests	execution_requested_bytes	execution_allocation_calls	query_peak_live_bytes	post_answer_live_bytes	prepared_released_bytes
Collision	8	Generated	Active	Indexed	14425	12850	20554	772	632	1134	61770	57201	62744	39491	33849	42951	24868.666666666668	23162.333333333332	25639.0	130709	120590	134126	2502.0	2396.25	2657.5	21116.75	20143.5	22124.5	2299.5	2191.75	2386.25	1449.25	1368.25	1526.75	613.5	594.25	643.75	10	55	0	54	63	16	26	6	12	10	0	13	19	13	0	10	20	36	35	0	0	0	23	18851	481	15205	4309	1954
Collision	8	Generated	Active	Scan	15314	12875	19663	862	681	1179	57920	53816	63365	33775	31540	38954	21371.333333333332	19740.333333333332	24143.666666666668	114041	104498	127393	2423.25	2208.0	2735.75	17776.25	16369.25	20076.5	2449.5	2441.25	3041.5	1169.25	1052.0	1270.5	566.25	552.0	657.0	10	55	0	54	63	42	0	0	0	0	0	0	0	0	0	10	20	36	35	0	0	0	10	16265	431	12674	4306	1954
Collision	8	Generated	Global	Indexed	12922	11289	22142	692	593	1046	56389	53006	65326	32357	29928	43951	22660.333333333332	20522.0	24415.0	114547	103376	140384	2459.25	2215.75	2727.0	18173.5	16701.0	21485.25	2343.75	2102.0	2623.5	1409.25	1242.5	1718.25	622.0	538.5	679.0	10	74	0	73	82	12	90	22	12	10	0	21	22	21	0	10	0	63	62	0	0	0	31	18299	502	14973	4309	1954
Collision	8	Generated	Global	Scan	13594	11667	17806	1095	691	1153	57358	54421	65245	25246	23185	30616	16847.666666666668	16314.666666666666	21069.333333333332	90783	89510	102739	2317.75	2193.0	2424.75	13317.25	12559.25	14166.0	2351.75	2217.75	2400.0	956.0	896.0	2455.5	585.75	561.0	674.5	10	74	0	73	82	102	0	0	0	0	0	0	0	0	0	0	0	63	62	0	0	0	10	14129	415	12074	4306	1954
Collision	8	Generic	Active	Indexed	13627	8289	15587	876	691	1048	67797	57834	71426	39752	37792	44613	27126.666666666668	23579.333333333332	28175.0	132813	129768	143037	2677.0	2408.0	2794.75	22490.0	21192.75	23679.5	2523.75	2345.75	4231.25	1527.75	1481.5	1682.75	643.75	576.25	658.75	10	55	83	54	63	16	26	6	12	10	0	13	19	13	0	10	20	36	35	0	0	0	23	18851	481	15203	4307	1954
Collision	8	Generic	Active	Scan	8854	8046	13001	654	607	932	57958	55622	60626	31188	29696	37768	20159.0	19816.666666666668	21439.0	105013	98519	111066	2245.0	2138.5	2346.75	17269.0	16536.5	18036.0	2278.5	2179.0	2350.5	1089.25	993.75	1184.75	565.0	533.25	594.75	10	55	83	54	63	42	0	0	0	0	0	0	0	0	0	10	20	36	35	0	0	0	10	16265	431	12672	4304	1954
Collision	8	Generic	Global	Indexed	9748	8813	12477	668	651	1119	58766	51304	61658	32805	30249	36290	21866.0	20489.0	26161.333333333332	115484	101180	121096	2346.25	2122.5	2507.75	18609.75	16856.0	21067.25	2297.0	2090.25	2416.25	1432.25	1238.25	1485.0	590.75	559.0	624.0	10	74	102	73	82	12	90	22	12	10	0	21	22	21	0	10	0	63	62	0	0	0	31	18299	502	14971	4307	1954
Collision	8	Generic	Global	Scan	11280	7827	31498	909	664	1058	63998	53521	73819	30514	23424	36672	19866.333333333332	17269.333333333332	21350.333333333332	103213	83725	133279	2580.5	2247.25	2900.0	15441.75	12925.5	17310.5	2612.75	2185.0	2950.0	1104.75	875.0	1267.75	633.75	524.0	688.25	10	74	102	73	82	102	0	0	0	0	0	0	0	0	0	0	0	63	62	0	0	0	10	14129	415	12072	4304	1954
Collision	64	Generated	Active	Indexed	12716	11512	17149	772	645	804	260618	244475	302685	173235	160736	190124	151718.0	149957.33333333334	167303.66666666666	659255	624377	688199	11335.5	9875.25	12700.5	132190.75	125040.5	139998.0	9825.5	9216.0	10764.75	4847.5	4507.0	4945.25	2863.5	2755.75	2986.25	66	391	0	390	455	128	194	6	68	66	0	69	131	69	0	66	132	260	259	0	0	0	135	125427	3249	65854	4310	1954
Collision	64	Generated	Active	Scan	17567	12214	21520	1157	638	80172	262223	227986	579282	162909	146661	529713	142550.33333333334	132322.66666666666	285808.0	610659	556481	1484876	11639.25	10450.5	28830.5	118158.5	109736.0	277272.5	11277.5	9645.75	20132.75	3593.0	3274.5	7833.5	2908.25	2745.75	12638.0	66	391	0	390	455	322	0	0	0	0	0	0	0	0	0	66	132	260	259	0	0	0	66	110225	2957	51715	4307	1954
Collision	64	Generated	Global	Indexed	12579	11918	19144	914	632	1255	248136	237282	271913	297333	290244	370257	291742.6666666667	287597.0	306782.6666666667	1184507	1166277	1264165	11153.0	10457.0	11428.5	263683.75	259907.25	282498.75	10053.25	9915.75	11082.75	4681.0	4660.0	5060.0	2920.75	2762.5	2956.75	66	2342	0	2341	2406	68	4290	134	68	66	0	133	134	133	0	66	0	2275	2274	0	0	0	199	291435	10645	64726	4310	1954
