kind,rep,family,n,rounds,mode,total_ns,preparation_ns,setup_ns,execution_ns,observation_ns,disposal_ns,first_cold_ns,cancellation_ns,requested_bytes,peak_increment_bytes
time,1,unique,4,8,compiled,67415513,116283,266007,66649520,251460,132243,33718969,226637,,
time,1,reopen,4,2,indexed,506070,54129,174030,87122,125279,65510,229662,126232,,
time,1,binding,2,2,eager,236335,22837,122008,38885,28854,23751,111719,90176,,
time,1,reopen,2,2,compiled,686613,30670,78506,537303,19885,20249,341570,59134,,
time,1,reopen,2,2,indexed,165442,21426,78158,16973,28982,19903,79144,56015,,
time,1,consuming,4,8,indexed,287167,30385,67929,124966,31296,32591,137400,42318,,
time,1,consuming,2,2,compiled,192054,25564,29717,99022,29804,7947,116488,16244,,
time,1,selective,4,2,subscribed,76977,12114,38400,8876,9266,8321,44549,21405,,
time,1,unique,2,8,eager,378897,45459,166040,62586,63575,41237,185071,111602,,
time,1,churn-broad,4,8,indexed,1680203,158985,359832,435829,407236,318321,688045,171865,,
time,1,binding,2,8,subscribed,327389,35560,100970,88181,63815,38863,148831,90468,,
time,1,inactive,4,8,indexed,1316987,147955,268327,309576,392139,198990,562423,235256,,
time,1,inactive,2,8,indexed,306122,35979,102325,56603,73903,37312,139993,80121,,
time,1,consuming,4,2,compiled,272813,23698,31266,200607,8056,9186,141935,25443,,
time,1,binding,4,2,compiled,12977463,64143,351675,12416029,94834,50782,6421464,106866,,
time,1,consuming,4,8,compiled,942538,29522,80153,784544,31712,16607,473946,45007,,
time,1,consuming,2,8,indexed,141302,22843,36850,48946,15326,17337,72206,30579,,
time,1,unique,4,8,indexed,1416224,172760,286811,355528,396376,204749,632580,230380,,
time,1,inactive,4,2,eager,887507,56183,531598,83137,129337,87252,396255,305970,,
time,1,binding,4,8,eager,1726049,155434,591888,355187,410872,212668,778194,423181,,
time,1,consuming,2,2,eager,65817,17820,16774,19238,6615,5370,39285,17791,,
time,1,churn-sparse,2,2,eager,220316,22555,121530,24941,28162,23128,107327,87204,,
time,1,churn-broad,2,8,eager,485465,43703,190634,139605,65376,46147,231390,137762,,
time,1,selective,2,8,subscribed,72351,12992,21655,16286,12906,8512,37824,20917,,
time,1,inactive,2,8,compiled,1544067,36545,98108,1337561,40345,31508,750007,77456,,
time,1,inactive,2,2,eager,204654,22284,117437,14076,28370,22487,99000,75054,,
time,1,dense,4,8,indexed,1084319,54416,145609,331950,366638,185706,405098,147226,,
time,1,churn-broad,4,2,indexed,543105,57770,184541,107819,123113,69862,247834,139208,,
time,1,inactive,2,2,compiled,590483,30242,73987,447113,19570,19571,298213,56609,,
time,1,unique,2,8,compiled,3004531,41136,118290,2769842,41509,33754,1494896,86090,,
time,1,selective,4,8,indexed,81925,14352,28937,13651,14510,10475,42765,25274,,
time,1,churn-sparse,4,8,indexed,1372387,151412,285627,339865,392367,203116,602236,233895,,
time,1,reopen,2,8,subscribed,416987,40368,127169,128226,77825,43399,196089,110179,,
time,1,reopen,4,2,compiled,6644068,56135,153649,6298670,82269,53345,3329495,114826,,
time,1,binding,4,8,compiled,22617490,113356,244156,21851656,265673,142649,11252668,210878,,
time,1,selective,4,2,indexed,56373,12548,22537,5567,8769,6952,29898,16127,,
time,1,binding,2,8,eager,342575,34485,138076,68040,60718,41256,160559,106139,,
time,1,unique,4,2,subscribed,630366,54977,182803,192739,127143,72704,293193,144998,,
time,1,consuming,2,2,subscribed,78722,20232,15734,28730,7859,6167,47335,22295,,
time,1,selective,4,8,subscribed,88429,13634,28283,15880,13709,16923,42197,25773,,
time,1,inactive,4,8,subscribed,1569491,162442,309022,396612,479320,222095,666080,273239,,
time,1,churn-sparse,4,8,compiled,32199855,125020,279836,31386214,258430,150355,12545974,229245,,
time,1,churn-sparse,4,2,compiled,7300736,57432,159051,6949419,80811,54023,3686742,117987,,
time,1,churn-broad,4,8,eager,2312688,163144,715363,793560,399706,240915,1043362,488584,,
time,1,reopen,4,8,compiled,24905744,121868,271771,24117095,250282,144728,12345416,233683,,
time,1,unique,2,2,compiled,717740,30609,76476,570936,19878,19841,351201,59880,,
time,1,reopen,4,8,eager,1700680,152508,623873,303935,394493,225871,753481,462534,,
