family	size	execution	policy	access	before_median_ns	before_min_ns	before_max_ns	before_execution_ns	before_applications	before_candidate_visits	before_generic_template_visits	before_structural_tests	before_binding_slot_copies	before_pool_entries	before_index_bucket_entries	before_index_lookups	before_index_repairs	before_index_inserts	before_index_removes	before_key_visits	before_key_template_visits	before_key_normalization_requests	before_key_normalization_allocations	before_dependency_visits	before_activation_pushes	before_history_checks	before_pairs	before_dereferences	before_map_visits	before_map_allocations	before_term_requests	before_execution_allocations	before_execution_requested_bytes	after_median_ns	after_min_ns	after_max_ns	after_execution_ns	after_applications	after_candidate_visits	after_generic_template_visits	after_structural_tests	after_binding_slot_copies	after_pool_entries	after_index_bucket_entries	after_index_lookups	after_index_repairs	after_index_inserts	after_index_removes	after_key_visits	after_key_template_visits	after_key_normalization_requests	after_key_normalization_allocations	after_dependency_visits	after_activation_pushes	after_history_checks	after_pairs	after_dereferences	after_map_visits	after_map_allocations	after_term_requests	after_execution_allocations	after_execution_requested_bytes	lifecycle_ratio_after_before	ranges_overlap
Delayed	8	Generic	Active	Indexed	557683	528689	1442393	115799.25	25	302	471	350	654	116	25	74	59	50	25	112	93	87	0	83	59	48	167	216	635	92	122	2341	111138	500434	483139	572613	102659.75	25	139	339	218	328	8	40	120	59	50	25	143	93	110	0	83	59	48	104	162	440	92	145	1857	96976	0.8973449074115581	True
Delayed	8	Generic	Active	Scan	507750	479684	554573	105597.5	25	439	608	487	928	321	0	0	0	0	0	0	0	0	0	83	59	48	304	320	976	92	35	2434	103868	471070	462227	504114	97607.25	25	369	569	448	788	321	0	0	0	0	0	0	0	0	0	83	59	48	334	258	773	92	35	2191	96980	0.9277597242737567	True
Delayed	8	Generic	Global	Indexed	639483	589814	680026	133882.25	25	341	587	466	732	252	117	432	59	50	25	291	395	266	0	83	0	125	143	192	608	102	301	2568	110536	609581	592687	651603	128313.25	25	341	587	466	732	252	117	432	59	50	25	291	395	266	0	83	0	125	143	192	608	102	301	2568	110536	0.9532403519718272	True
Delayed	8	Generic	Global	Scan	727130	694189	742930	157888.75	25	1453	1699	1578	2956	1545	0	0	0	0	0	0	0	0	0	0	0	125	1255	1327	4730	102	35	5125	181868	713423	699706	801293	156578.5	25	1453	1699	1578	2956	1545	0	0	0	0	0	0	0	0	0	0	0	125	1255	1327	4730	102	35	5125	181868	0.9811491755256969	True
Delayed	64	Generated	Active	Indexed	7271598	7179860	7625108	1685077.5	193	13126	0	13510	26638	6304	193	522	451	386	193	840	709	647	0	643	451	384	6691	7076	56789	1095	906	50677	1729834	3672761	3521907	3783648	789269.25	193	1091	0	1730	2568	64	320	904	451	386	193	1095	709	838	0	643	451	384	832	1282	7684	1095	1097	14633	759080	0.5050830642728049	False
Delayed	64	Generated	Active	Scan	8846943	8492193	9928418	2093647.0	193	21383	0	21767	43152	16897	0	0	0	0	0	0	0	0	0	643	451	384	14948	15076	124500	1095	259	73028	2440580	6947053	6611194	7067187	1622858.25	193	15461	0	16100	31308	16897	0	0	0	0	0	0	0	0	0	643	451	384	15202	9218	75331	1095	259	55005	1999804	0.7852489837450066	False
Delayed	64	Generated	Global	Indexed	13061820	12922532	13389937	3141461.75	193	17029	0	23398	34444	12740	6305	21320	451	386	193	11239	17419	11046	0	643	0	6369	6499	6884	47890	1236	11305	83106	2478144	12804333	12592882	12987234	3060469.0	193	17029	0	23398	34444	12740	6305	21320	451	386	193	11239	17419	11046	0	643	0	6369	6499	6884	47890	1236	11305	83106	2478144	0.9802870503497981	True
Delayed	64	Generated	Global	Scan	154725506	141523652	158080254	38545280.0	193	507973	0	514342	1016332	514085	0	0	0	0	0	0	0	0	0	0	0	6369	497443	539235	4407343	1236	259	1535532	52784300	147015309	142220455	148241569	36618754.5	193	507973	0	514342	1016332	514085	0	0	0	0	0	0	0	0	0	0	0	6369	497443	539235	4407343	1236	259	1535532	52784300	0.9501685455790334	True
Delayed	64	Generic	Active	Indexed	7533651	7164304	7733689	1751527.25	193	13126	14415	13510	26638	6304	193	522	451	386	193	840	709	647	0	643	451	384	6691	7076	56789	1095	906	50677	1729834	3650861	3633655	8370296	786247.5	193	1091	2635	1730	2568	64	320	904	451	386	193	1095	709	838	0	643	451	384	832	1282	7684	1095	1097	14633	759080	0.48460713138954803	True
Delayed	64	Generic	Active	Scan	9566173	9022398	9703182	2272949.5	193	21383	22672	21767	43152	16897	0	0	0	0	0	0	0	0	0	643	451	384	14948	15076	124500	1095	259	73028	2440580	7274777	7147639	7533850	1701246.0	193	15461	17005	16100	31308	16897	0	0	0	0	0	0	0	0	0	643	451	384	15202	9218	75331	1095	259	55005	1999804	0.7604688938826425	False
