kind,rep,family,mode,reuse,total_ns,execution_ns,setup_ns,preparation_ns,disposal_ns,first_prepared_owner_ns,cancel_ns,requested_bytes,peak_increment_bytes
time,0,deep,checkpoint1,8,18621161,18291795,15688,78530,235148,2225061,3885809,,
time,0,work,checkpoint4,1,5400535,5380644,1908,12947,5036,5375670,5335267,,
time,0,deep,copy,1,1907184,1818070,1975,56979,30160,1779456,1750814,,
time,0,mutation,checkpoint16,8,467212802,466482997,467040,24173,238592,57431964,60836367,,
time,0,small,checkpoint4,8,2981832,2939069,9835,9332,23596,382938,354200,,
time,0,linear,indexed-cow,1,140300,89913,27580,19413,3394,136763,109824,,
time,0,compatible-large,checkpoint1,8,5502962,4546471,939955,647,15889,702569,692779,,
time,0,deep,indexed,8,16637916,15532793,394166,24815,686142,1672165,2082398,,
time,0,compatible-small,indexed-cow,8,524204,427375,81494,1873,13462,80614,60840,,
time,0,compatible-large,checkpoint16,1,651737,550422,98526,390,2399,649217,644995,,
time,0,small,indexed,8,1907231,1696895,158842,28852,22642,231326,213865,,
time,0,early,checkpoint16,1,617221,594413,9826,9612,3370,613717,577475,,
time,0,late,copy,1,1009182,983129,10223,11765,4065,1004993,984211,,
time,0,retained,copy,1,483310,408274,19702,11651,43683,337836,555410,,
time,0,retained,indexed,8,6074396,5211042,621781,21602,219971,508810,621391,,
time,0,linear,checkpoint4,8,684621,550212,101024,8520,24865,89528,81733,,
time,0,compatible-alias,indexed-cow,8,917408,799504,92207,20044,5653,129322,105727,,
time,0,retained,trail,1,815947,672792,21990,16894,104271,539510,581867,,
time,0,linear,checkpoint16,1,90303,68751,9403,8914,3235,86979,84055,,
time,0,linear,trail,1,93463,68803,9335,9666,5659,87712,87041,,
time,0,early,checkpoint16,8,6310039,6122970,153096,12837,21136,977030,631558,,
time,0,late,indexed-cow,1,753209,695989,25945,27249,4026,749053,718824,,
time,0,work,indexed-cow,8,7916036,7635799,217312,40162,22763,943517,975061,,
time,0,early,replay,1,716946,679903,10621,22074,4348,712488,633232,,
time,0,compatible-small,checkpoint16,8,216740,180617,29193,335,6595,28048,28040,,
time,0,retained,indexed,1,809970,688239,55221,29427,37083,562827,715762,,
time,0,linear,indexed-cow,8,1004528,647694,321338,19965,15531,135085,112086,,
time,0,mutation,indexed,8,21272629,20195852,772481,43317,260979,2204222,2501487,,
time,0,compatible-large,checkpoint4,8,5349785,4472336,861342,483,15624,745869,658881,,
time,0,early,indexed,8,3904521,3594685,268112,22310,19414,475504,618734,,
time,0,late,checkpoint4,8,26881073,26725207,131407,5664,18795,3375405,3306641,,
time,0,compatible-alias,copy,8,796426,729546,57133,3447,6300,104956,121476,,
time,0,mutation,indexed-cow,1,2586031,2452849,50635,51678,30869,2305621,2421692,,
time,0,late,copy,8,8110916,7955544,128504,9958,16910,986079,1019854,,
time,0,compatible-large,checkpoint16,8,5267365,4403515,846817,336,16697,643955,885668,,
time,0,compatible-alias,checkpoint1,1,99922,88986,6192,3168,1576,98254,102569,,
time,0,compatible-small,trail,8,212612,180106,19471,333,12702,25009,28293,,
time,0,early,copy,8,4826528,4679488,119666,9201,18173,635254,588202,,
time,0,early,indexed-cow,8,3419929,3123312,242389,25752,28476,448007,412304,,
time,0,compatible-alias,checkpoint4,8,806301,739991,57126,3257,5927,109839,97699,,
time,0,compatible-large,indexed-cow,1,400530,71752,323203,2933,2642,397777,402306,,
time,0,spine,indexed-cow,8,1829754,1684865,100948,20992,22949,86834,69949,,
time,0,deep,indexed,1,2039657,1929183,9513,23812,77149,1671630,1971386,,
time,0,work,checkpoint4,8,46406217,46343834,14819,24173,23391,6109306,5707978,,
time,0,retained,checkpoint4,1,1271811,1201014,25761,16406,28630,1122460,1110753,,
time,0,mutation,trail,1,55633258,55472723,21462,16470,122603,52678690,55973405,,
time,0,early,trail,8,4714166,4529133,130484,11574,42975,584080,596263,,
time,0,spine,trail,1,332732,296568,2746,28500,4918,76088,48639,,
time,0,compatible-alias,checkpoint16,1,105497,94494,6193,3275,1535,103851,102323,,
time,0,compatible-small,checkpoint1,8,221081,185826,28659,354,6242,27581,27007,,
time,0,compatible-alias,checkpoint1,8,771285,707745,54445,3264,5831,99647,90722,,
time,0,mutation,indexed,1,2645017,2516628,50092,48257,30040,2340137,2448659,,
time,0,linear,copy,1,96452,73678,9962,9351,3461,92808,89537,,
time,0,compatible-alias,replay,1,98068,88046,5633,2941,1448,96528,94067,,
time,0,compatible-large,indexed,8,2822438,492233,2313075,2213,14917,346947,403493,,
time,0,work,checkpoint16,1,19125580,19102354,2378,14715,6133,19070540,25156870,,
time,0,linear,trail,8,658462,515959,103549,8772,30182,81715,80022,,
time,0,early,checkpoint4,1,551403,530076,8914,8643,3770,547539,590580,,
time,0,small,indexed-cow,8,3065242,2766665,228323,26412,43842,301417,343680,,
time,0,late,checkpoint16,1,9294582,9261114,13890,14607,4971,9289321,10009471,,
time,0,retained,checkpoint4,8,10107738,9498132,369244,13870,226492,1124504,1145409,,
time,0,small,copy,1,166953,150978,2137,9647,4191,151903,161576,,
time,0,small,checkpoint1,8,1628786,1589639,9083,8765,21299,181031,161327,,
time,1,early,indexed-cow,8,3406172,3119971,226912,21764,37525,436414,410316,,
time,1,linear,indexed-cow,8,933348,634334,265394,18693,14927,127280,104582,,
time,1,compatible-alias,copy,8,690371,632732,49438,2962,5239,94429,98711,,
time,1,linear,checkpoint4,8,728848,598031,106528,9863,14426,98163,87883,,
time,1,compatible-small,trail,8,268745,195046,19788,316,53595,26611,29325,,
time,1,early,replay,8,6908649,6722564,152081,8923,25081,800623,992513,,
time,1,work,checkpoint1,1,2667858,2642848,3356,16496,5158,2651104,2572308,,
time,1,compatible-large,checkpoint1,8,5458661,4406108,1034924,1211,16418,852109,669364,,
time,1,retained,copy,8,4545277,3890628,401020,10588,243041,343729,402788,,
time,1,mutation,indexed,1,2614561,2488781,49728,46801,29251,2315663,2434302,,
time,1,retained,indexed,8,6291739,5364652,640274,26368,260445,548679,632807,,
time,1,late,checkpoint16,1,8439299,8412264,11014,12158,3863,8435108,8300486,,
time,1,compatible-large,trail,8,4926006,4116755,776060,424,32767,624554,624678,,
time,1,spine,replay,8,39447891,39399838,13290,8670,26093,167420,165462,,
time,1,mutation,checkpoint1,1,13766900,13647180,22184,22587,74949,13509345,14071198,,
time,1,mutation,checkpoint4,1,24054739,23918876,24117,26063,85683,23780025,22588708,,
time,1,compatible-large,checkpoint1,1,626090,525052,98588,370,2080,623883,630407,,
time,1,compatible-small,replay,1,29748,23663,4568,419,1098,28549,28085,,
time,1,deep,checkpoint16,1,15609154,15520099,3614,59598,25843,15293721,15003093,,
time,1,mutation,indexed,8,24850790,23590179,876252,70172,314187,4461788,2565757,,
time,1,retained,indexed-cow,8,6468968,5482220,715566,26213,244969,601683,636213,,
time,1,late,indexed,1,780023,720535,26864,28274,4350,775524,792651,,
time,1,spine,trail,1,326813,291333,2756,28057,4667,76943,48530,,
time,1,compatible-small,trail,1,41749,33291,5079,523,2856,38769,41226,,
time,1,compatible-alias,trail,1,111115,95747,6758,4746,3864,107127,107841,,
time,1,compatible-large,copy,8,5739937,4706153,1015796,620,17368,710727,691695,,
time,1,compatible-small,replay,8,221127,184813,29371,354,6589,27624,28864,,
time,1,early,checkpoint1,8,5035409,4886796,122072,8994,17547,620015,613211,,
time,1,small,indexed-cow,8,1757771,1573701,135923,24910,23237,210373,216653,,
time,1,work,copy,1,2531329,2506332,2481,16740,5776,2514762,2437288,,
time,1,late,checkpoint16,8,71301331,71135364,136918,11126,17923,8889937,8820191,,
time,1,mutation,copy,8,53517384,52759503,468333,26072,263476,6288199,6479168,,
time,1,deep,checkpoint1,8,18662667,18344475,17925,74341,225926,2191436,2213771,,
time,1,small,checkpoint1,1,194191,178688,2113,9355,4035,178413,168121,,
time,1,spine,indexed-cow,1,224090,190569,8068,21324,4129,73045,66630,,
time,1,compatible-small,indexed,1,76982,61664,11269,2056,1993,74883,67966,,
time,1,linear,indexed-cow,1,140783,85085,30081,22218,3399,137251,110843,,
time,1,retained,checkpoint4,8,10259047,9674897,352752,10253,221145,1045168,1124096,,
time,1,compatible-large,checkpoint4,1,729636,626902,99814,369,2551,726972,709241,,
time,1,compatible-large,replay,1,712891,608259,101993,422,2217,710567,648723,,
time,1,early,checkpoint16,1,634159,597854,10400,22235,3670,630368,619219,,
time,1,early,copy,8,4709715,4564391,118794,9358,17172,582900,668676,,
time,1,linear,checkpoint1,8,747038,597918,122124,9264,17732,94129,92646,,
time,1,early,trail,1,604843,574682,10501,12571,7089,597579,576339,,
time,1,mutation,checkpoint16,8,490571080,489688381,513868,28662,340169,58962635,62120704,,
time,1,work,indexed,1,1108152,1043495,6615,52604,5438,1070034,1073233,,
time,1,retained,trail,8,7493185,6455475,523813,18730,495167,582570,629643,,
time,1,early,checkpoint16,8,5020839,4878722,116841,8786,16490,666001,617655,,
time,1,small,trail,8,2965641,2921868,10258,5551,27964,343103,357781,,
time,1,compatible-alias,replay,8,758857,690451,55061,2942,10403,98298,90677,,
time,1,compatible-small,checkpoint1,1,25411,20160,3941,286,1024,24302,23971,,
time,1,compatible-small,checkpoint1,8,470693,435400,28741,239,6313,115924,27074,,
time,1,early,indexed,1,660760,571917,47412,37145,4286,656319,1012503,,
time,1,compatible-small,indexed-cow,1,96392,82274,10220,2851,1047,95229,473915,,
time,1,compatible-alias,checkpoint1,8,1208768,1118958,72532,3328,13950,98638,147014,,
time,1,linear,replay,8,702195,571615,107111,8325,15144,90847,87430,,
time,1,deep,indexed,1,2552356,2425137,16059,33518,77642,2219265,2075893,,
time,1,small,indexed-cow,1,223055,187855,6186,24839,4175,203691,208198,,
time,1,deep,checkpoint16,8,124920845,124566160,24785,72959,256941,15756573,15122111,,
time,1,work,indexed-cow,1,998691,941993,6775,44840,5083,966916,1019794,,
time,1,compatible-alias,trail,8,796311,703198,63814,6066,23233,108270,98586,,
time,1,late,checkpoint4,8,25786218,25641624,122531,5333,16730,3263756,3213159,,
time,1,work,replay,8,2786148580,2786003391,48616,46621,49952,339945774,339619861,,
time,1,compatible-large,indexed,8,2995107,527025,2449774,2529,15779,390055,358719,,
time,1,retained,checkpoint1,8,6769994,6167033,368395,9399,225167,653195,709536,,
time,1,mutation,checkpoint16,1,61676822,61560525,22363,24055,69879,61407175,60317567,,
time,1,deep,checkpoint4,8,40795322,40434547,29301,70489,260985,4823728,4777644,,
time,1,spine,copy,8,1269538,1230025,10235,8408,20870,38093,26504,,
time,1,spine,checkpoint1,1,196040,180977,2252,8968,3843,43530,31966,,
time,1,linear,checkpoint16,8,662504,539395,100658,8833,13618,83635,77863,,
time,1,compatible-alias,checkpoint4,1,105519,94974,5950,3174,1421,103994,99905,,
time,1,spine,indexed,1,197599,165038,7550,21514,3497,70146,59101,,
time,1,small,indexed,1,220609,180555,6387,29788,3879,202183,185418,,
time,1,linear,indexed,1,111687,68569,24359,15889,2870,108716,97299,,
time,1,compatible-small,copy,1,26471,20913,4198,251,1109,25272,24681,,
time,1,late,copy,8,7950840,7801410,122884,9797,16749,985079,1001611,,
time,1,retained,indexed-cow,1,740399,635239,51719,21706,31735,518160,625729,,
time,1,small,trail,1,389132,375908,2446,5852,4926,333712,363987,,
time,1,linear,checkpoint4,1,93257,71571,9558,8878,3250,89897,85651,,
time,1,retained,checkpoint16,1,2792250,2731203,21967,11505,27575,2637665,2736343,,
time,1,late,indexed-cow,1,748741,679458,37520,27442,4321,744279,736463,,
time,1,retained,checkpoint16,8,23314176,22745130,354837,10415,203794,2752522,2647347,,
time,1,linear,indexed,8,924832,631363,260314,18666,14489,141193,102940,,
time,1,early,trail,8,4677158,4494888,129630,10483,42157,567410,587437,,
time,1,late,checkpoint1,8,14739640,14585612,127700,9804,16524,1875617,1789855,,
time,1,work,checkpoint1,8,19457293,19421752,9106,5275,21160,2437558,2454324,,
time,1,early,checkpoint1,1,600486,576946,10274,10052,3214,597169,557024,,
time,1,deep,copy,8,17172723,16816167,21192,77407,257957,1856583,1917980,,
time,1,compatible-large,trail,1,685754,575332,105070,516,4836,680783,684288,,
time,1,early,replay,1,671769,645427,10549,12011,3782,667847,633745,,
time,1,retained,checkpoint1,1,813105,745690,22169,11843,33403,647072,702123,,
time,1,work,checkpoint16,8,172545662,172471773,27567,16202,30120,20102232,20312189,,
time,1,compatible-large,indexed-cow,1,388881,66766,317723,2007,2385,386340,357304,,
time,1,deep,indexed,8,18364440,17140630,456318,29052,738440,1713915,2136437,,
time,1,compatible-alias,copy,1,174408,157742,9287,4934,2445,171842,176379,,
time,1,spine,checkpoint4,1,431364,416024,2230,9380,3730,83280,69479,,
time,1,compatible-small,checkpoint4,8,209512,174025,28706,309,6472,26468,27062,,
time,1,compatible-large,indexed,1,349298,63415,281531,2064,2288,346920,357856,,
time,1,linear,checkpoint16,1,129392,99193,14007,11589,4603,124608,125496,,
time,1,linear,replay,1,118638,93299,10088,9548,5703,112793,151652,,
time,1,late,checkpoint4,1,3580229,3551567,11067,12573,5022,3574798,3396614,,
time,1,retained,indexed,1,835173,707891,56581,32622,38079,584967,730463,,
time,1,spine,checkpoint16,8,11494278,11434233,17231,10497,32317,185213,168929,,
time,1,small,replay,8,26316449,26263784,15842,10548,26275,3060607,2973646,,
time,1,deep,trail,1,4823372,4657824,3799,7966,153783,3895283,5028176,,
time,1,compatible-alias,replay,1,110682,99576,6189,3404,1513,109044,101569,,
time,1,compatible-alias,checkpoint16,8,807481,740754,57558,3303,5866,110103,93249,,
time,1,mutation,trail,8,480560987,479311660,405080,16448,827799,55854259,55255370,,
time,1,spine,checkpoint4,8,3359779,3312579,13519,7973,25708,88461,77513,,
time,1,linear,copy,8,634126,515350,96803,8353,13620,85654,87178,,
time,1,late,replay,1,35298802,35267987,12029,13528,5258,35292272,34690869,,
time,1,deep,indexed-cow,1,1798421,1691427,7937,20360,78697,1500027,1827910,,
time,1,mutation,trail,1,59621425,59431131,21914,18172,150208,55298183,59096081,,
time,1,mutation,checkpoint1,8,116955353,116156211,436363,23572,339207,13671555,14221594,,
time,1,work,trail,8,90414176,89460958,27245,887701,38272,12368213,9222730,,
time,1,compatible-small,checkpoint16,1,27346,21781,4252,315,998,26256,26184,,
time,1,deep,copy,1,2004385,1900661,2288,65565,35871,1863667,1959958,,
time,1,deep,indexed-cow,8,16011164,14735030,490399,28553,757182,1616774,1981371,,
time,1,late,checkpoint1,1,1827726,1800413,10887,12450,3976,1823536,1814754,,
time,1,small,checkpoint4,1,393756,377241,2333,10088,4094,374715,345494,,
time,1,late,indexed,8,5966522,5592750,277168,26030,70574,757866,741926,,
time,1,spine,indexed,8,1696219,1532181,106337,22746,34955,80737,64385,,
time,1,compatible-small,indexed-cow,8,525496,434929,74668,2057,13842,86801,58373,,
time,1,retained,copy,1,473266,409009,21668,11698,30891,340066,518217,,
time,1,retained,replay,1,7032990,6968121,22664,12913,29292,6492005,6249454,,
time,1,mutation,indexed-cow,1,2611059,2465569,63671,51810,30009,2326993,2429793,,
time,1,small,checkpoint4,8,2999399,2956516,9733,10801,22349,375522,356608,,
time,1,small,checkpoint16,1,1118811,1102935,2141,9703,4032,1092588,1074279,,
time,1,late,trail,1,3649208,3613427,10660,17594,7527,3641521,3628383,,
time,1,small,indexed,8,1739216,1541907,146958,28547,21804,217220,205328,,
time,1,work,indexed-cow,8,8018665,7727734,223913,43890,23128,950853,988528,,
time,1,compatible-small,indexed,8,546489,452089,82142,2134,10124,72208,63391,,
time,1,mutation,checkpoint4,8,199022015,198167521,477642,27562,349290,23771044,23152571,,
time,1,work,checkpoint16,1,20625990,20597314,4710,17757,6209,20573317,19990959,,
time,1,compatible-alias,indexed-cow,1,143521,111340,11875,18742,1564,141842,123466,,
time,1,work,indexed,8,8592995,8262368,256672,47831,26124,1028272,1100784,,
time,1,work,checkpoint4,1,5736532,5714509,2217,14770,5036,5710917,5824261,,
time,1,deep,replay,8,685044985,684696325,28582,61674,258404,79583423,79379499,,
time,1,early,checkpoint4,8,4803846,4664351,114994,8541,15960,618002,594726,,
time,1,small,checkpoint16,8,8877078,8835033,10470,9357,22218,1102601,1084465,,
time,1,work,checkpoint4,8,46140061,46083286,12081,21630,23064,6198425,5650303,,
time,1,compatible-alias,checkpoint16,1,99520,89326,5785,3011,1398,98002,96647,,
time,1,spine,trail,8,2781396,2702212,13595,35965,29624,99048,45882,,
time,1,late,replay,8,268373141,268201436,141168,10890,19647,33989286,33413244,,
time,1,compatible-small,checkpoint16,8,204369,168742,28844,318,6465,26341,27026,,
time,1,retained,replay,8,55252846,54661251,370206,12514,208875,6481696,6217211,,
time,1,compatible-large,replay,8,5110809,4271596,823787,378,15048,633668,636865,,
time,1,deep,trail,8,37005937,36314536,30777,10941,649683,3871041,4109052,,
time,1,spine,replay,1,4881499,4865050,2565,9617,4267,168552,162362,,
time,1,spine,checkpoint1,8,1507889,1456344,15069,8390,28086,44366,39258,,
time,1,retained,trail,1,767983,663198,20647,16895,67243,526227,556011,,
time,1,compatible-large,checkpoint16,8,5274840,4442471,817168,351,14850,643980,616612,,
time,1,deep,checkpoint1,1,2212490,2161366,1706,5659,43759,2060141,2156153,,
time,1,compatible-alias,checkpoint1,1,100280,89829,5891,3122,1438,98752,96646,,
