build,mode,family,n,reuse,consumer,requested_bytes,peak_above_start,consumer_retained_bytes,completed_requested_bytes,cancellation_requested_bytes,completed_wall_median_ns,completed_wall_min_ns,completed_wall_max_ns,wall_median_ns,wall_min_ns,wall_max_ns
on,inferred,chain,1,4,query,618852,13120,0,544352,74500,572180,383570,718962,646830,437294,814169
on,inferred,chain,1,4,prepared,618852,14017,1196,544352,74500,383279,343216,791099,435962,389322,893495
on,inferred,chain,3,1,query,480835,22296,0,376503,104332,392142,271319,519515,526667,364731,679580
on,inferred,chain,3,1,prepared,480835,22296,299,376503,104332,414532,253513,497663,512596,341317,673054
on,inferred,chain,3,4,query,1599052,22296,0,1494720,104332,1561544,992434,1745965,1676110,1091452,1851455
on,inferred,chain,3,4,prepared,1599052,23193,1196,1494720,104332,982251,943300,1905536,1073053,1036120,2018895
on,inferred,wide,0,1,query,20217,3274,0,6288,13929,6356,5176,7836,18359,13801,22568
on,inferred,wide,0,1,prepared,20217,3569,295,6288,13929,6754,4792,7526,20055,13123,21810
on,inferred,wide,0,4,query,38769,3274,0,24840,13929,21890,12709,30979,34229,20167,44405
on,inferred,wide,0,4,prepared,38769,4454,1180,24840,13929,22430,12872,28268,36017,20280,44572
on,inferred,wide,1,1,query,121363,10595,0,55464,65899,71053,39183,92682,150460,86381,184061
on,inferred,wide,1,1,prepared,121363,10799,711,55464,65899,67120,45161,79110,144600,95251,163244
on,inferred,wide,1,4,query,269971,10595,0,204072,65899,222035,130017,258711,290162,170536,342535
on,inferred,wide,1,4,prepared,269971,12932,2844,204072,65899,226706,145359,240389,296920,189361,319240
on,inferred,wide,3,1,query,1262611,63045,0,1093274,169337,741460,590512,1234089,860281,714684,1450900
on,inferred,wide,3,1,prepared,1262611,64168,4989,1093274,169337,1042906,660689,1230799,1258160,794811,1514888
on,inferred,wide,3,4,query,4385371,63045,0,4216034,169337,2570911,2498249,2778703,2687333,2633777,2915559
on,inferred,wide,3,4,prepared,4385371,79135,19956,4216034,169337,2282885,2220813,3743488,2397675,2342364,3896245
on,inferred,choices,0,1,query,23579,6340,0,9650,13929,9447,9262,11295,21862,20452,26010
on,inferred,choices,0,1,prepared,23579,6635,295,9650,13929,9594,7531,10985,22335,16090,25617
on,inferred,choices,0,4,query,42131,6340,0,28202,13929,19300,13769,25657,29446,21076,40045
on,inferred,choices,0,4,prepared,42131,7520,1180,28202,13929,24472,16812,32357,37788,26420,50614
on,inferred,choices,1,1,query,79542,8950,0,32554,46988,45717,34740,55367,105284,75568,131852
on,inferred,choices,1,1,prepared,79542,9777,942,32554,46988,40869,34778,54478,95129,78611,120987
on,inferred,choices,1,4,query,166806,8950,0,119818,46988,127492,80561,160110,174764,108166,218337
on,inferred,choices,1,4,prepared,166806,12603,3768,119818,46988,140059,136674,166593,194294,189465,227649
on,inferred,choices,3,1,query,172070,15180,0,104826,67244,190856,153356,267606,268636,215943,364770
on,inferred,choices,3,1,prepared,172070,15305,5432,104826,67244,164447,126756,191677,230091,174681,269399
on,inferred,choices,3,4,query,476150,15180,0,408906,67244,603560,395153,809316,662437,434346,855354
on,inferred,choices,3,4,prepared,476150,31601,21728,408906,67244,741275,674625,791781,819325,746911,895896
on,inferred,mixed_same,0,1,query,24048,6721,0,10119,13929,7844,7404,12617,16042,15074,27138
on,inferred,mixed_same,0,1,prepared,24048,7016,295,10119,13929,11512,7570,14794,25043,16540,34081
on,inferred,mixed_same,0,4,query,42600,6721,0,28671,13929,25691,21858,31959,37730,33717,48870
on,inferred,mixed_same,0,4,prepared,42600,7901,1180,28671,13929,28667,25814,31800,46489,42005,56397
on,inferred,mixed_same,1,1,query,72128,9323,0,30321,41807,45105,38505,73972,98122,86202,155487
on,inferred,mixed_same,1,1,prepared,72128,9630,307,30321,41807,40019,20893,65422,89650,45215,124740
on,inferred,mixed_same,1,4,query,151286,9323,0,109479,41807,141806,83144,153535,199390,112700,212895
on,inferred,mixed_same,1,4,prepared,151286,10551,1228,109479,41807,137229,88897,147723,188742,123031,202653
on,inferred,mixed_same,3,1,query,199918,12979,0,133595,66323,171695,148087,189986,255808,221092,281008
on,inferred,mixed_same,3,1,prepared,199918,13502,523,133595,66323,154729,100047,209154,226661,149684,274228
on,inferred,mixed_same,3,4,query,588898,12979,0,522575,66323,551206,330309,632443,614551,378513,707691
on,inferred,mixed_same,3,4,prepared,588898,15071,2092,522575,66323,583484,361528,750452,658908,413272,846574
on,inferred,independent,0,1,query,33005,12950,0,19076,13929,23073,13454,26440,38542,21338,43104
on,inferred,independent,0,1,prepared,33005,13245,295,19076,13929,20813,11732,23491,31508,18188,46712
on,inferred,independent,0,4,query,51557,12950,0,37628,13929,33726,32101,37495,45990,43469,54826
on,inferred,independent,0,4,prepared,51557,14130,1180,37628,13929,40084,37556,47411,56786,54035,67747
on,inferred,independent,1,1,query,188041,22146,0,129045,58996,173630,123461,223068,250096,172031,313712
on,inferred,independent,1,1,prepared,188041,22146,2420,129045,58996,175968,131950,224030,251076,185761,317610
on,inferred,independent,1,4,query,534100,22146,0,475104,58996,619103,585564,710821,696074,650605,781205
on,inferred,independent,1,4,prepared,534100,29406,9680,475104,58996,594246,345757,678175,666282,385007,762311
on,inferred,independent,3,1,query,935479,63098,0,859857,75622,1259819,918122,1588479,1353558,996113,1705308
on,inferred,independent,3,1,prepared,935479,63098,23168,859857,75622,1318332,794891,1533697,1415420,856699,1652998
on,inferred,independent,3,4,query,3469174,63098,0,3393552,75622,3815351,3397238,4251530,3898566,3477180,4340901
on,inferred,independent,3,4,prepared,3469174,132602,92672,3393552,75622,3573803,3290362,4145654,3646550,3349648,4241889
on,inferred,delayed,0,1,query,33205,13150,0,19276,13929,28991,14977,40355,47197,22557,60379
on,inferred,delayed,0,1,prepared,33205,13445,295,19276,13929,20952,16620,30074,33539,25091,47153
on,inferred,delayed,0,4,query,51757,13150,0,37828,13929,33042,22687,45415,44931,30253,61474
on,inferred,delayed,0,4,prepared,51757,14330,1180,37828,13929,37698,37219,39202,51197,49885,53000
on,inferred,delayed,1,1,query,239545,22410,0,179605,59940,186722,162787,211604,241470,211181,275085
on,inferred,delayed,1,1,prepared,239545,22410,2420,179605,59940,267533,248551,299997,350503,320845,389711
on,inferred,delayed,1,4,query,736684,22410,0,676744,59940,944884,614140,1127613,1016181,662665,1212828
on,inferred,delayed,1,4,prepared,736684,29670,9680,676744,59940,899418,536673,1167531,978953,581555,1304792
on,inferred,delayed,3,1,query,1361151,65538,0,1285529,75622,1502035,1223946,1989056,1605925,1297858,2101808
on,inferred,delayed,3,1,prepared,1361151,65538,23168,1285529,75622,1812666,1358187,1932265,1902755,1431561,2033266
on,inferred,delayed,3,4,query,5171262,65538,0,5095640,75622,4445348,4251645,5517208,4511978,4316702,5604688
on,inferred,delayed,3,4,prepared,5171262,135042,92672,5095640,75622,5268060,4189752,7257770,5326416,4246052,7349984
on,scan,history,0,1,query,15402,4580,0,5996,9406,7494,5661,10613,19720,13700,26651
on,scan,history,0,1,prepared,15402,4731,151,5996,9406,8686,7682,10960,22702,20036,29547
on,scan,history,0,4,query,25167,4580,0,15761,9406,18610,11475,19353,33535,20644,33979
on,scan,history,0,4,prepared,25167,5184,604,15761,9406,19865,14316,21446,34497,22942,39644
on,scan,history,1,1,query,113752,19421,0,41272,72480,97047,71809,131884,218177,158992,323370
on,scan,history,1,1,prepared,113752,19421,3443,41272,72480,92729,61009,150192,225742,142619,337333
on,scan,history,1,4,query,229345,19421,0,156865,72480,356450,214374,463416,472112,292325,619445
on,scan,history,1,4,prepared,229345,29750,13772,156865,72480,370757,248688,471749,486635,328598,625775
on,scan,history,3,1,query,278864,43149,0,143896,134968,519940,248002,704631,708180,354163,941135
on,scan,history,3,1,prepared,278864,43149,10067,143896,134968,540724,407471,785046,760801,567029,1051193
on,scan,history,3,4,query,702329,43149,0,567361,134968,1669120,1268176,2875593,1809086,1395240,3091690
on,scan,history,3,4,prepared,702329,73350,40268,567361,134968,1390336,1289923,2267203,1524462,1426351,2401567
on,scan,chain,0,1,query,21854,5829,0,8387,13467,10482,7805,15759,24639,20174,42136
on,scan,chain,0,1,prepared,21854,6032,203,8387,13467,15265,13690,28374,37887,36599,58787
on,scan,chain,0,4,query,37172,5829,0,23705,13467,27247,20232,38299,44116,33312,61653
on,scan,chain,0,4,prepared,37172,6641,812,23705,13467,36440,27035,42134,63722,45411,87702
