family,choices,depth,history,reverse,consumer,mode,counted,median_ns,min_ns,max_ns,requested_bytes,peak_excess,signal_limited
common,0,0,True,False,immediate,native-indexed,True,179980,140710,219576,110584,15705,False
common,0,0,True,False,immediate,native-scan,False,158661,118160,267596,89103,13118,False
common,0,0,True,False,immediate,native-scan,True,156088,140461,485115,95628,13645,False
common,0,0,True,False,immediate,scan,False,118629,116877,128903,85135,12886,False
common,0,0,True,False,immediate,scan,True,131900,123828,152711,91660,13413,False
common,0,0,True,False,immediate,sealed-indexed,False,151961,138368,169821,106707,15978,False
common,0,0,True,False,immediate,sealed-indexed,True,156987,141591,257787,113232,16505,False
common,0,0,True,False,immediate,sealed-scan,False,134559,123034,216915,85479,13582,False
common,0,0,True,False,immediate,sealed-scan,True,143302,128602,160213,92004,14109,False
common,0,0,True,False,window,active-indexed,False,131906,122760,158390,95695,16786,False
common,0,0,True,False,window,active-indexed,True,149427,133764,310388,102220,17313,False
common,0,0,True,False,window,active-native-indexed,False,147612,143262,414241,94831,16810,False
common,0,0,True,False,window,active-native-indexed,True,159683,143804,217801,101356,17337,False
common,0,0,True,False,window,active-native-scan,False,148479,130746,162507,87375,15774,False
common,0,0,True,False,window,active-native-scan,True,157514,147494,171310,93900,16301,False
common,0,0,True,False,window,active-scan,False,139884,123543,205511,85327,15542,False
common,0,0,True,False,window,active-scan,True,148792,138798,270800,91852,16069,False
common,0,0,True,False,window,birth,False,100976,92500,147078,86561,17195,False
common,0,0,True,False,window,birth,True,126896,117950,138150,93086,17722,False
common,0,0,True,False,window,birth-miss,False,93186,87388,135109,86533,17203,False
common,0,0,True,False,window,birth-miss,True,121567,118769,184289,93058,17730,False
common,0,0,True,False,window,birth-miss-template,False,111895,103205,119618,102793,19979,False
common,0,0,True,False,window,birth-miss-template,True,138260,130436,142313,109318,20506,False
common,0,0,True,False,window,conditional,False,293866,282110,494364,352552,22168,False
common,0,0,True,False,window,conditional,True,314895,310254,353225,359077,22695,False
common,0,0,True,False,window,indexed,False,149668,127829,157780,106363,16858,False
common,0,0,True,False,window,indexed,True,151136,140509,218770,112888,17385,False
common,0,0,True,False,window,native-indexed,False,150879,147851,152179,104059,16754,False
common,0,0,True,False,window,native-indexed,True,173602,151427,194878,110584,17281,False
common,0,0,True,False,window,native-scan,False,118428,112387,149161,89103,14694,False
common,0,0,True,False,window,native-scan,True,130685,125795,209020,95628,15221,False
common,0,0,True,False,window,scan,False,116836,115444,126365,85135,14462,False
common,0,0,True,False,window,scan,True,135399,124638,164275,91660,14989,False
common,0,0,True,False,window,sealed-indexed,False,147549,138675,371537,106707,17554,False
common,0,0,True,False,window,sealed-indexed,True,166758,140372,625167,113232,18081,False
common,0,0,True,False,window,sealed-scan,False,126019,108674,287030,85479,15158,False
common,0,0,True,False,window,sealed-scan,True,127595,116920,144895,92004,15685,False
common,0,0,True,True,all,active-indexed,False,132743,123207,183268,95695,17574,False
common,0,0,True,True,all,active-indexed,True,163052,131662,216375,102220,18101,False
