kind,rep,family,mode,reuse,total_ns,execution_ns,setup_ns,preparation_ns,disposal_ns,first_cold_ns,cancel_ns,requested_bytes,peak_increment_bytes
meter,0,after-clash,dependencies,8,1002636,548419,373657,15865,64695,,122096,1557954,86175
meter,0,unique,dependencies,1,337233,229855,44720,41664,20994,279644,262061,537890,106213
meter,0,before-clash,graph,1,144546,93877,22522,13059,15088,,125865,171799,55231
meter,0,after-clash,ordinary,8,1003551,550858,375390,16024,61279,,124308,2388098,80839
meter,0,before-clash,dependencies,1,126051,38249,60127,16316,11359,,92097,159696,80875
meter,0,after-success,dependencies,1,209294,118309,45198,29595,16192,156197,149578,257694,86837
meter,0,after-clash,specialized,8,5649736,5179063,409828,52099,8746,,698677,9344989,747753
meter,0,before-clash,specialized,8,4852930,4385717,404516,53592,9105,,620904,9113243,741463
meter,0,before-success,dependencies,8,1646582,1072953,390659,13794,169176,154786,170170,2047628,85383
meter,0,after-success,graph,1,7105291,7030555,25549,32080,17107,590570,577247,13191235,107407
meter,0,unique,ordinary,8,1745786,1149898,374935,23769,197184,176126,174073,2731066,95541
meter,0,after-success,ordinary,1,216250,126327,44330,30001,15592,164694,161467,357974,83701
meter,0,unique,specialized,8,7510878,6921557,461818,71321,56182,700981,884124,10006717,765321
meter,0,unique,graph,8,56882714,56381797,235532,23057,242328,616244,610364,106205858,132231
meter,0,before-clash,specialized,1,723423,613856,47538,55319,6710,,584784,1207751,741463
meter,0,before-clash,ordinary,8,751597,307230,373099,15346,55922,,92185,1939516,75539
meter,0,trivial,dependencies,8,973766,899624,12095,14174,47873,84700,81553,1111634,53619
meter,0,unique,graph,1,7084210,6989083,25644,46029,23454,655750,621219,13306051,132231
meter,0,unique,specialized,1,911840,767286,48980,77843,17731,662758,758259,1338869,765321
meter,0,before-success,graph,1,2468930,2397489,25074,28620,17747,555460,595591,4630186,76819
meter,0,before-clash,dependencies,8,781065,308274,397492,15912,59387,,88607,1109372,80875
meter,0,trivial,dependencies,1,142982,104239,2002,26631,10110,96957,81198,161321,53619
meter,0,before-success,ordinary,8,1699272,1144131,373317,13731,168093,165260,168667,2849868,81327
meter,0,after-clash,dependencies,1,144402,70596,43969,17357,12480,,125665,217111,86175
meter,0,before-success,ordinary,1,260806,169678,44456,30398,16274,201994,172544,377258,81327
meter,0,trivial,ordinary,1,176151,141151,1817,23357,9826,122659,75390,150073,49747
meter,0,before-clash,graph,8,884650,656915,181062,14007,32666,,108316,1209780,55231
meter,0,trivial,specialized,1,396963,326310,3266,57112,10275,293509,261591,446950,203751
meter,0,trivial,specialized,8,2776431,2596513,77796,48916,53206,275360,261745,3005765,203751
meter,0,before-success,graph,8,20879017,20483877,285712,13344,96084,542702,570093,36876876,76819
meter,0,trivial,ordinary,8,905301,835103,11471,14469,44258,78914,73979,1021650,49747
meter,0,before-clash,ordinary,1,105911,34868,43411,16499,11133,,86492,263464,75539
meter,0,trivial,graph,8,23875074,23768140,16496,17084,73354,550987,498256,43527522,69469
meter,0,after-success,dependencies,8,1488616,938486,364094,15531,170505,141001,143168,1882618,86837
meter,0,unique,ordinary,1,245314,139770,44617,40719,20208,189119,172566,372150,95541
meter,0,before-success,specialized,8,8962525,8316470,463247,51643,131165,828290,1005474,11121403,753609
meter,0,before-success,dependencies,1,225630,134141,44459,30889,16141,172289,162906,276978,85383
meter,0,unique,dependencies,8,2617335,1993294,386421,23283,214337,265431,293063,4056986,106213
meter,0,after-clash,ordinary,1,141355,67604,44139,17534,12078,,128335,320879,80839
meter,0,after-clash,graph,8,50748248,50454761,232271,16671,44545,,6340509,97132154,92009
meter,0,trivial,graph,1,2875854,2836169,1859,24876,12950,479588,473666,5462859,69469
meter,0,after-clash,graph,1,6421618,6359543,25324,17630,19121,,6433458,12163438,92009
meter,0,after-success,ordinary,8,1598415,1040917,368918,14361,174219,150312,168147,2684858,83701
meter,0,after-success,graph,8,56657599,56251342,289105,16410,100742,579801,578896,105354530,107407
meter,1,after-success,specialized,8,7565178,6979622,469395,52547,63614,672858,859270,9950909,753481
meter,1,before-clash,dependencies,1,108715,37765,43343,16070,11537,,91375,159696,80875
meter,1,after-clash,ordinary,8,1081035,613392,387643,15830,64170,,123542,2388098,80839
meter,1,unique,ordinary,1,248247,141058,45207,41783,20199,191180,174096,372150,95541
meter,1,before-clash,graph,1,130580,80808,22242,13150,14380,,106901,171799,55231
meter,1,before-clash,ordinary,8,755997,313088,372740,15135,55034,,90465,1939516,75539
meter,1,before-success,graph,8,21152273,20720827,314828,17758,98860,642395,569518,36876876,76819
meter,1,after-success,ordinary,8,1628121,1057303,381053,14348,175417,155421,156422,2684858,83701
meter,1,before-clash,graph,8,931833,689068,194547,13998,34220,,110948,1209780,55231
meter,1,unique,specialized,1,910304,761277,47652,81988,19387,661756,798843,1338869,765321
meter,1,before-clash,ordinary,1,110322,40006,43593,15499,11224,,86642,263464,75539
meter,1,after-success,dependencies,8,1546747,973628,382544,15663,174912,145114,143892,1882618,86837
meter,1,after-success,specialized,1,949126,814903,48821,60954,24448,655602,818458,1315093,753481
meter,1,unique,specialized,8,7611048,7012324,467696,72167,58861,711405,872325,10006717,765321
meter,1,before-success,graph,1,2497930,2424891,26316,29900,16823,578722,586177,4630186,76819
meter,1,after-clash,specialized,8,5862640,5366970,434074,52673,8923,,725783,9344989,747753
meter,1,before-success,specialized,8,8975705,8311484,450967,58389,154865,861374,1017238,11121403,753609
meter,1,trivial,dependencies,8,1021256,942777,12848,14386,51245,87114,95875,1111634,53619
meter,1,trivial,dependencies,1,142750,106622,1898,23981,10249,96431,82790,161321,53619
meter,1,after-clash,graph,1,6389682,6326393,24883,17778,20628,,6309443,12163438,92009
meter,1,before-clash,specialized,8,5196942,4703520,427828,56355,9239,,633635,9113243,741463
meter,1,before-success,ordinary,1,283647,174007,56277,37712,15651,224117,170852,377258,81327
meter,1,trivial,graph,8,23755108,23648124,16615,15677,74692,480954,507925,43527522,69469
meter,1,after-clash,dependencies,8,1077923,586859,406260,18120,66684,,127575,1557954,86175
meter,1,after-success,graph,1,7154123,7076350,26660,33859,17254,621724,579941,13191235,107407
meter,1,trivial,graph,1,2989126,2948219,1896,25162,13849,495919,510535,5462859,69469
meter,1,before-clash,specialized,1,800721,661833,59461,71580,7847,,695530,1207751,741463
meter,1,after-clash,ordinary,1,159574,75663,51199,20850,11862,,124784,320879,80839
meter,1,unique,graph,1,7213118,7116426,25636,47147,23909,627324,630224,13306051,132231
meter,1,unique,dependencies,1,344039,236798,44129,41358,21754,283985,270282,537890,106213
meter,1,before-success,specialized,1,1068272,947859,49162,54630,16621,798231,907430,1458771,753609
meter,1,unique,ordinary,8,1825567,1204674,391144,23530,206219,180933,180926,2731066,95541
meter,1,trivial,ordinary,1,136167,99823,2133,24305,9906,90284,77015,150073,49747
meter,1,after-success,dependencies,1,207420,117250,44351,29865,15954,155053,152923,257694,86837
meter,1,trivial,ordinary,8,915828,845372,11856,14194,44406,78719,69928,1021650,49747
meter,1,before-success,ordinary,8,1737759,1167045,383833,13755,173126,162084,180855,2849868,81327
meter,1,before-success,dependencies,8,1694635,1116416,384348,13985,179886,157540,166298,2047628,85383
meter,1,after-success,ordinary,1,215531,125812,45065,29172,15482,164259,174390,357974,83701
meter,1,trivial,specialized,8,2875640,2710232,66511,49441,49456,282188,329252,3005765,203751
meter,1,trivial,specialized,1,435407,361333,3023,59698,11353,311748,282793,446950,203751
meter,1,unique,dependencies,8,2692668,2039545,410337,23690,219096,269516,282625,4056986,106213
meter,1,before-clash,dependencies,8,772981,308097,388451,16146,60287,,92742,1109372,80875
meter,1,unique,graph,8,57449357,56954051,235004,23964,236338,598755,622365,106205858,132231
meter,1,after-clash,graph,8,51176378,50886653,228050,16369,45306,,6345990,97132154,92009
meter,1,after-clash,dependencies,1,145799,70585,44936,17958,12320,,128202,217111,86175
meter,1,after-success,graph,8,56804818,56396850,292932,14496,100540,600881,614062,105354530,107407
meter,1,before-success,dependencies,1,231582,135953,44809,32020,18800,174751,199313,276978,85383
meter,1,after-clash,specialized,1,794570,680874,49893,57059,6744,,742937,1239353,747753
