kind,rep,family,mode,reuse,total_ns,execution_ns,setup_ns,preparation_ns,disposal_ns,first_cold_ns,cancel_ns,requested_bytes,peak_increment_bytes
time,2,cross-before-clash-64-2,dependencies,1,71399,16400,39145,10902,4952,,60985,,
time,2,cross-before-clash-256-2,specialized,1,437060,281851,134238,18558,2413,,416633,,
time,2,cross-before-success-64-4,graph,1,1652893,1595824,18825,27151,11093,360974,355816,,
time,2,cross-before-clash-256-6,graph,1,381584,219700,74751,55819,31314,,273804,,
time,2,cross-unique-success-64-6,specialized,1,5390236,4989127,43383,245016,112710,3431739,3909860,,
time,2,cross-before-success-256-2,graph,1,248854,178590,56729,4203,9332,187128,193491,,
time,2,cross-before-success-64-4,ordinary,1,191098,112513,39242,30006,9337,157752,143719,,
time,2,cross-before-success-256-6,specialized,1,11012157,10582226,153525,189502,86904,7286878,8761805,,
time,2,cross-before-success-64-6,dependencies,1,921696,755666,40940,95045,30045,591454,562852,,
time,2,cross-unique-success-1024-6,graph,1,616211361,615703778,232062,97365,178156,4619396,4876391,,
time,2,cross-before-clash-256-6,specialized,1,5713104,5318164,165246,190141,39553,,5419084,,
time,2,cross-before-success-64-6,specialized,1,5539049,5246529,46790,170351,75379,3614324,4133146,,
time,2,cross-before-clash-64-4,ordinary,1,99770,34222,36435,13618,15495,,73251,,
time,2,cross-before-success-64-2,ordinary,1,76636,23154,36721,11220,5541,67899,63364,,
time,2,cross-before-success-1024-4,dependencies,1,850441,204918,506710,18539,120274,705158,819212,,
time,2,cross-before-success-1024-2,graph,1,697904,428668,210867,4725,53644,594113,664806,,
time,2,cross-before-clash-1024-4,ordinary,1,829414,172285,521858,17748,117523,,767124,,
time,2,cross-before-success-64-4,specialized,1,724397,616990,42982,45476,18949,527740,618963,,
time,2,cross-before-success-1024-4,ordinary,1,1036707,394706,508588,17959,115454,897921,1001039,,
time,2,cross-before-clash-64-4,specialized,1,454287,359982,41286,47439,5580,,400101,,
time,2,cross-before-clash-1024-6,ordinary,1,1261949,586622,480598,73084,121645,,1229328,,
time,2,cross-before-success-64-2,graph,1,142215,111739,17866,8373,4237,88940,82119,,
