case	mode	limit	status	steps	raw	failed	answers	exhausted	issued	committed_equations	lookahead_visits	projection_dereferences	max_outstanding	owner_buffered_peak	uncommitted_at_shutdown	calls	pairs	resolve_nodes	occurs_nodes	worker_completion
U03-alias	Threads(2)	4	pass	6	1	0	1	true	2	2	6	3	1	1	0	2	2	11	3	[(0, 0), (1, 1)]
U04-occurs	Owned	0	pass	5	0	1	0	true	2	2	0	0	0	0	0	2	2	10	4	[]
U04-occurs	Shared	0	pass	5	0	1	0	true	0	0	0	0	0	0	0	0	0	0	0	[]
U04-occurs	Inline	1	pass	5	0	1	0	true	2	2	5	5	1	1	0	2	2	10	4	[]
U04-occurs	Inline	4	pass	5	0	1	0	true	2	2	5	5	1	1	0	2	2	10	4	[]
U04-occurs	Threads(1)	1	pass	5	0	1	0	true	2	2	5	5	1	1	0	2	2	10	4	[(0, 0), (0, 1)]
U04-occurs	Threads(1)	4	pass	5	0	1	0	true	2	2	5	5	1	1	0	2	2	10	4	[(0, 0), (0, 1)]
U04-occurs	Threads(2)	1	pass	5	0	1	0	true	2	2	5	5	1	1	0	2	2	10	4	[(0, 0), (1, 1)]
U04-occurs	Threads(2)	4	pass	5	0	1	0	true	2	2	5	5	1	1	0	2	2	10	4	[(0, 0), (1, 1)]
U05-conditional-occurs	Owned	0	pass	6	1	1	1	true	2	2	0	0	0	0	0	2	2	7	3	[]
U05-conditional-occurs	Shared	0	pass	6	1	1	1	true	0	0	0	0	0	0	0	0	0	0	0	[]
U05-conditional-occurs	Inline	1	pass	6	1	1	1	true	2	2	6	3	1	1	0	2	2	7	3	[]
U05-conditional-occurs	Inline	4	pass	6	1	1	1	true	2	2	7	3	2	2	0	2	2	7	3	[]
U05-conditional-occurs	Threads(1)	1	pass	6	1	1	1	true	2	2	6	3	1	1	0	2	2	7	3	[(0, 0), (0, 1)]
U05-conditional-occurs	Threads(1)	4	pass	6	1	1	1	true	2	2	7	3	2	1	0	2	2	7	3	[(0, 0), (0, 1)]
U05-conditional-occurs	Threads(2)	1	pass	6	1	1	1	true	2	2	6	3	1	1	0	2	2	7	3	[(0, 0), (1, 1)]
U05-conditional-occurs	Threads(2)	4	pass	6	1	1	1	true	2	2	7	3	2	1	0	2	2	7	3	[(0, 0), (1, 1)]
U06-union-cycle	Owned	0	pass	7	2	0	2	true	2	2	0	0	0	0	0	2	2	14	4	[]
U06-union-cycle	Shared	0	pass	7	2	0	2	true	0	0	0	0	0	0	0	0	0	0	0	[]
U06-union-cycle	Inline	1	pass	7	2	0	2	true	2	2	8	4	1	1	0	2	2	14	4	[]
U06-union-cycle	Inline	4	pass	7	2	0	2	true	2	2	10	4	2	2	0	2	2	14	4	[]
U06-union-cycle	Threads(1)	1	pass	7	2	0	2	true	2	2	8	4	1	1	0	2	2	14	4	[(0, 0), (0, 1)]
