case	mode	pass	solutions	exhausted	classes	retained_candidates	pattern_nodes	unions	domain_compares	enumeration_cache_hits	domain_cache_hits	filter_candidates	output_nodes	emitted	intersection_pairs	transition_pairs	productivity_checks	witness_nodes	ground_checks	membership_steps	membership_hits	enumeration_checks	size_partitions	enumeration_candidates	allocation_calls	build_requested	compile_requested	output_requested	requested_bytes	baseline_live	peak_live	final_live	build_us	compile_us	output_us
disjoint-h2-n7	FilterSmallest	true	0	true	2	0	3	0	4	0	1	9	0	0	0	0	0	0	49	83	7	56	64	248	4064	1687	146718	0	148405	736	74154	937	8	508	0
disjoint-h2-n7	Intersect	true	0	true	2	0	3	0	3	0	1	0	0	0	2	12	6	1	0	0	0	0	0	0	94	1687	3579	0	5266	731	4454	932	8	23	0
disjoint-h2-n9	FilterFirst	true	0	true	2	0	3	0	3	0	1	527	0	0	0	0	0	0	4511	2307	0	54	87	1355	29962	1687	1119424	0	1121111	733	498267	934	6	3068	0
disjoint-h2-n9	FilterSmallest	true	0	true	2	0	3	0	4	0	1	23	0	0	0	0	0	0	175	321	35	72	116	1378	28538	1687	977188	0	978875	736	498270	937	8	2475	0
disjoint-h2-n9	Intersect	true	0	true	2	0	3	0	3	0	1	0	0	0	2	12	6	1	0	0	0	0	0	0	94	1687	3579	0	5266	731	4454	932	5	13	0
disjoint-h4-n1	FilterFirst	true	0	true	4	0	7	0	7	0	3	1	0	0	0	0	0	0	1	1	0	6	3	3	145	3439	4289	0	7728	733	5707	1160	7	15	0
disjoint-h4-n1	FilterSmallest	true	0	true	4	0	7	0	8	0	3	1	0	0	0	0	0	0	1	1	0	8	4	4	158	3439	5396	0	8835	736	5947	1163	13	21	0
disjoint-h4-n1	Intersect	true	0	true	4	0	7	0	7	0	3	0	0	0	2	12	6	1	0	0	0	0	0	0	146	3439	3931	0	7370	731	5992	1158	10	21	0
disjoint-h4-n3	FilterFirst	true	0	true	4	0	7	0	7	0	3	4	0	0	0	0	0	0	10	8	0	18	6	11	221	3439	8414	0	11853	733	7858	1160	9	28	0
disjoint-h4-n3	FilterSmallest	true	0	true	4	0	7	0	8	0	3	2	0	0	0	0	0	0	4	5	0	24	8	13	240	3439	9926	0	13365	736	7861	1163	7	25	0
