case	mode	pass	steps	applications	introductions	equations	pairs	dereferences	occurs	head_candidates	splits	failed	raw	answers	max_frontier	pending	map_visits	map_allocations	snapshot_copies	pending_allocations	term_requests	term_nodes	observer_pairs	observer_scans	allocation_calls	requested_bytes	baseline_live	peak_live	final_live	elapsed_us
app-sk-identity	Copy	true	177	7	7	57	190	159	109	7	49	49	1	1	5	0	756	820	569	243	366	191	0	0	3066	185688	14361	76378	67086	328
app-sk-ignored-hole	Persistent	true	546	32	33	166	585	642	562	76	141	141	1	1	5	0	4719	1407	0	725	1054	540	0	0	7327	519967	15915	180290	173490	423
app-sk-ignored-hole	Copy	true	546	32	33	166	585	642	562	76	141	141	1	1	5	0	4719	6939	5532	725	1054	540	0	0	14274	898647	15909	200212	173484	752
app-sub	Persistent	true	27	4	4	9	13	14	16	4	3	3	1	1	2	0	44	33	0	26	18	12	0	0	281	16142	4402	10440	9740	27
app-sub	Copy	true	27	4	4	9	13	14	16	4	3	3	1	1	2	0	44	48	15	26	18	12	0	0	305	17246	4396	10642	9734	37
app-type-synthesis-prefix	Persistent	true	12	1	1	4	8	10	7	1	2	0	1	1	3	2	12	11	0	13	17	16	0	0	196	13960	4840	13165	12533	90
app-type-synthesis-prefix	Copy	true	12	1	1	4	8	10	7	1	2	0	1	1	3	2	12	13	2	13	17	16	0	0	200	14120	4834	13159	12607	107
carry-k0-w0-n0	Persistent	true	2	0	1	0	0	0	0	1	0	0	1	1	1	0	3	1	0	1	2	2	0	0	60	3740	3334	6036	5844	16
carry-k0-w0-n0	Copy	true	2	0	1	0	0	0	0	1	0	0	1	1	1	0	3	1	0	1	2	2	0	0	60	3740	3328	6030	5838	20
carry-k0-w0-n3	Persistent	true	5	0	4	0	0	0	0	1	0	0	1	1	1	0	13	10	0	4	8	4	0	0	137	6611	4216	8418	7970	21
carry-k0-w0-n3	Copy	true	5	0	4	0	0	0	0	1	0	0	1	1	1	0	13	10	0	4	8	4	0	0	137	6611	4210	8412	7964	19
carry-k0-w1-n0	Persistent	true	4	1	2	0	0	0	0	2	0	0	1	1	1	0	6	3	0	2	3	3	0	0	79	4581	3383	6143	5927	25
carry-k0-w1-n0	Copy	true	4	1	2	0	0	0	0	2	0	0	1	1	1	0	6	3	0	2	3	3	0	0	79	4581	3377	6137	5921	14
carry-k0-w1-n3	Persistent	true	7	1	5	0	0	0	0	2	0	0	1	1	1	0	22	15	0	5	9	4	0	0	157	7651	4265	8547	8019	14
carry-k0-w1-n3	Copy	true	7	1	5	0	0	0	0	2	0	0	1	1	1	0	22	15	0	5	9	4	0	0	157	7651	4259	8541	8013	20
carry-k0-w4-n0	Persistent	true	10	4	5	0	0	0	0	5	0	0	1	1	1	0	23	15	0	5	6	6	0	0	150	8440	3530	7052	6596	21
carry-k0-w4-n0	Copy	true	10	4	5	0	0	0	0	5	0	0	1	1	1	0	23	15	0	5	6	6	0	0	150	8440	3524	7046	6590	16
carry-k0-w4-n3	Persistent	true	13	4	8	0	0	0	0	5	0	0	1	1	1	0	59	41	0	8	12	6	0	0	240	12037	4412	9194	8426	23
carry-k0-w4-n3	Copy	true	13	4	8	0	0	0	0	5	0	0	1	1	1	0	59	41	0	8	12	6	0	0	240	12037	4406	9188	8420	30
carry-k1-w0-n0	Persistent	true	8	1	2	2	2	7	2	3	1	0	2	2	2	0	15	7	0	5	4	4	1	0	139	8171	4169	8461	7945	27
carry-k1-w0-n0	Copy	true	8	1	2	2	2	7	2	3	1	0	2	2	2	0	15	9	2	5	4	4	1	0	142	8323	4163	8455	7939	26
carry-k1-w0-n3	Persistent	true	11	1	5	2	2	7	2	3	1	0	2	2	2	0	38	20	0	8	10	6	1	0	252	12428	5516	12258	11430	31
carry-k1-w0-n3	Copy	true	11	1	5	2	2	7	2	3	1	0	2	2	2	0	38	25	5	8	10	6	1	0	258	12796	5510	12252	11424	30
carry-k1-w1-n0	Persistent	true	12	3	4	2	2	7	2	5	1	0	2	2	2	0	25	13	0	7	5	5	1	0	176	10314	4218	8816	8220	20
carry-k1-w1-n0	Copy	true	12	3	4	2	2	7	2	5	1	0	2	2	2	0	25	15	2	7	5	5	1	0	179	10466	4212	8810	8214	26
carry-k1-w1-n3	Persistent	true	15	3	7	2	2	7	2	5	1	0	2	2	2	0	62	34	0	10	11	6	1	0	294	14746	5565	12387	11479	30
carry-k1-w1-n3	Copy	true	15	3	7	2	2	7	2	5	1	0	2	2	2	0	62	39	5	10	11	6	1	0	300	15114	5559	12381	11473	33
carry-k1-w4-n0	Persistent	true	24	9	10	2	2	7	2	11	1	0	2	2	2	0	59	39	0	13	8	8	1	0	301	17159	4365	9761	8925	41
carry-k1-w4-n0	Copy	true	24	9	10	2	2	7	2	11	1	0	2	2	2	0	59	41	2	13	8	8	1	0	304	17311	4359	9755	8919	29
carry-k1-w4-n3	Persistent	true	27	9	13	2	2	7	2	11	1	0	2	2	2	0	144	88	0	16	14	8	1	0	449	23622	5712	13298	12150	53
carry-k1-w4-n3	Copy	true	27	9	13	2	2	7	2	11	1	0	2	2	2	0	144	93	5	16	14	8	1	0	455	23990	5706	13292	12144	47
carry-k2-w0-n0	Persistent	true	19	3	3	6	6	25	6	7	3	0	4	4	4	0	65	27	0	12	8	4	8	0	290	15729	5669	12305	11601	37
carry-k2-w0-n0	Copy	true	19	3	3	6	6	25	6	7	3	0	4	4	4	0	65	38	11	12	8	4	8	0	306	16545	5663	12299	11595	34
carry-k2-w0-n3	Persistent	true	22	3	6	6	6	25	6	7	3	0	4	4	4	0	95	39	0	15	14	6	8	0	460	21422	7850	18796	17780	39
carry-k2-w0-n3	Copy	true	22	3	6	6	6	25	6	7	3	0	4	4	4	0	95	59	20	15	14	6	8	0	485	22886	7844	18790	17774	45
carry-k2-w1-n0	Persistent	true	27	7	7	6	6	25	6	11	3	0	4	4	4	0	85	39	0	16	9	5	8	0	357	19548	5718	12660	11876	28
carry-k2-w1-n0	Copy	true	27	7	7	6	6	25	6	11	3	0	4	4	4	0	85	50	11	16	9	5	8	0	373	20364	5712	12654	11870	43
carry-k2-w1-n3	Persistent	true	30	7	10	6	6	25	6	11	3	0	4	4	4	0	131	59	0	19	15	6	8	0	532	25416	7899	18925	17829	45
carry-k2-w1-n3	Copy	true	30	7	10	6	6	25	6	11	3	0	4	4	4	0	131	79	20	19	15	6	8	0	557	26880	7893	18919	17823	47
carry-k2-w4-n0	Persistent	true	51	19	19	6	6	25	6	23	3	0	4	4	4	0	177	99	0	28	12	8	8	0	604	32701	5865	13605	12581	37
carry-k2-w4-n0	Copy	true	51	19	19	6	6	25	6	23	3	0	4	4	4	0	177	110	11	28	12	8	8	0	620	33517	5859	13599	12575	66
carry-k2-w4-n3	Persistent	true	54	19	22	6	6	25	6	23	3	0	4	4	4	0	263	139	0	31	18	8	8	0	793	39960	8046	19836	18500	67
carry-k2-w4-n3	Copy	true	54	19	22	6	6	25	6	23	3	0	4	4	4	0	263	159	20	31	18	8	8	0	818	41424	8040	19830	18494	63
carry-k3-w0-n0	Persistent	true	40	7	4	14	14	69	14	15	7	0	8	8	8	0	215	75	0	25	16	4	44	0	618	32849	9235	21987	21095	53
carry-k3-w0-n0	Copy	true	40	7	4	14	14	69	14	15	7	0	8	8	8	0	215	113	38	25	16	4	44	0	673	35641	9229	21981	21089	65
carry-k3-w0-n3	Persistent	true	43	7	7	14	14	69	14	15	7	0	8	8	8	0	303	98	0	28	22	6	44	0	921	43502	13084	33866	32662	66
carry-k3-w0-n3	Copy	true	43	7	7	14	14	69	14	15	7	0	8	8	8	0	303	157	59	28	22	6	44	0	997	47806	13078	33860	32656	46
carry-k3-w1-n0	Persistent	true	56	15	12	14	14	69	14	23	7	0	8	8	8	0	255	99	0	33	17	5	44	0	745	40020	9284	22342	21370	60
carry-k3-w1-n0	Copy	true	56	15	12	14	14	69	14	23	7	0	8	8	8	0	255	137	38	33	17	5	44	0	800	42812	9278	22336	21364	61
carry-k3-w1-n3	Persistent	true	59	15	15	14	14	69	14	23	7	0	8	8	8	0	407	154	0	36	23	6	44	0	1077	52576	13133	33995	32711	179
carry-k3-w1-n3	Copy	true	59	15	15	14	14	69	14	23	7	0	8	8	8	0	407	213	59	36	23	6	44	0	1153	56880	13127	33989	32705	80
carry-k3-w4-n0	Persistent	true	104	39	36	14	14	69	14	47	7	0	8	8	8	0	439	227	0	57	20	8	44	0	1236	65789	9431	23287	22075	123
carry-k3-w4-n0	Copy	true	104	39	36	14	14	69	14	47	7	0	8	8	8	0	439	265	38	57	20	8	44	0	1291	68581	9425	23281	22069	103
