case	mode	pass	quanta	projected_steps	expansions	projected_applications	introductions	projected_introductions	splits	failed	raw	answers	support_reads	support_writes	occurrence_scans	binding_scans	match_candidates	term_visits	term_copies	unification_pairs	occurs_visits	previewed	queue_scans	queue_refs	work_nodes	max_frontier	pending	retained_occurrences	variables	occurrence_births	binding_edges	tokens	support_memberships	observer_pairs	observer_scans	allocation_calls	requested_bytes	baseline_live	peak_live	final_live	elapsed_us
grid-carry-k0-w256-n128	Singleton	true	642	642	256	256	385	385	0	0	1	1	898	1282	66178	0	257	9796	182534	0	0	642	642	256	385	1	0	129	0	385	0	256	770	0	0	420289	10936035	844503	2247172	2240716	31033
grid-carry-k0-w256-n128	Ready	true	642	642	256	256	385	385	0	0	1	1	898	1282	66178	0	257	9796	182534	0	0	642	642	256	385	1	0	129	0	385	0	256	770	0	0	420289	10936035	844499	2247168	2240712	21701
grid-carry-k1-w0-n0	Singleton	true	8	8	1	1	2	2	1	0	2	2	20	24	6	8	3	14	36	2	2	8	8	3	5	2	0	1	1	2	2	1	12	1	0	170	16011	3154	10495	10007	38
grid-carry-k1-w0-n0	Ready	true	8	8	1	1	2	2	1	0	2	2	20	24	6	8	3	14	36	2	2	8	8	3	5	2	0	1	1	2	2	1	12	1	0	170	16011	3150	10491	10003	29
grid-carry-k1-w0-n16	Singleton	true	24	24	1	1	18	18	1	0	2	2	84	152	70	8	3	150	444	2	2	24	24	3	21	2	0	17	1	18	2	1	76	1	0	2292	83667	26940	78593	78105	140
grid-carry-k1-w0-n16	Ready	true	24	24	1	1	18	18	1	0	2	2	84	152	70	8	3	150	444	2	2	24	24	3	21	2	0	17	1	18	2	1	76	1	0	2292	83667	26936	78589	78101	145
grid-carry-k1-w0-n128	Singleton	true	136	136	1	1	130	130	1	0	2	2	532	1048	518	8	3	8270	24804	2	2	136	136	3	133	2	0	129	1	130	2	1	524	1	0	117470	3025355	1250486	3375267	3374779	6806
grid-carry-k1-w0-n128	Ready	true	136	136	1	1	130	130	1	0	2	2	532	1048	518	8	3	8270	24804	2	2	136	136	3	133	2	0	129	1	130	2	1	524	1	0	117470	3025355	1250482	3375263	3374775	5712
grid-carry-k1-w1-n0	Singleton	true	12	12	3	3	4	4	1	0	2	2	31	32	14	8	5	25	65	2	2	12	12	5	7	2	0	2	1	4	2	2	16	1	0	247	21790	3203	11145	10657	48
grid-carry-k1-w1-n0	Ready	true	10	12	2	3	3	4	1	0	2	2	26	32	10	8	5	26	59	2	2	12	14	5	6	2	0	1	1	3	2	2	16	1	0	232	20980	3199	10797	10292	41
grid-carry-k1-w1-n16	Singleton	true	28	28	3	3	20	20	1	0	2	2	95	160	110	8	5	161	473	2	2	28	28	5	23	2	0	18	1	20	2	2	80	1	0	2371	90710	26989	80507	80019	151
grid-carry-k1-w1-n16	Ready	true	26	28	2	3	19	20	1	0	2	2	90	160	106	8	5	162	467	2	2	28	30	5	22	2	0	17	1	19	2	2	80	1	0	2355	89004	26985	79246	78758	224
grid-carry-k1-w1-n128	Singleton	true	140	140	3	3	132	132	1	0	2	2	543	1056	782	8	5	8281	24833	2	2	140	140	5	135	2	0	130	1	132	2	2	528	1	0	117549	3032398	1250535	3376285	3375797	5457
grid-carry-k1-w1-n128	Ready	true	138	140	2	3	131	132	1	0	2	2	538	1056	778	8	5	8282	24827	2	2	140	142	5	134	2	0	129	1	131	2	2	528	1	0	117534	3031588	1250531	3375920	3375432	6454
grid-carry-k1-w8-n0	Singleton	true	40	40	17	17	18	18	1	0	2	2	73	88	49	8	19	102	548	2	2	40	40	19	21	2	0	2	1	18	2	16	44	1	0	1357	78883	3546	17040	16552	89
grid-carry-k1-w8-n0	Ready	true	24	40	9	17	10	18	1	0	2	2	68	88	38	8	19	138	444	2	2	40	56	19	13	2	0	1	1	10	2	9	44	1	0	1114	66739	3542	12828	12315	97
