case	mode	pass	steps	applications	expansions	cache_hits	cache_misses	cache_retained	rules_examined	occurrence_scans	candidates	binding_reads	term_visits	unification_pairs	occurs_visits	fresh_variables	work_nodes	snapshot_entries	introductions	splits	failed	raw	answers	max_frontier	pending	retained_roots	retained_bindings	retained_pending	observer_pairs	observer_scans	allocation_calls	requested_bytes	baseline_live	peak_live	final_live	elapsed_us
app-add-failure	Local	true	24	3	3	0	0	0	3	3	3	11	57	14	9	7	25	27	3	3	4	0	0	2	0	0	0	0	0	0	432	28659	3017	9841	5271	43
app-add-failure	Cached	true	24	3	3	0	3	3	3	3	3	11	57	14	9	7	25	27	3	3	4	0	0	2	0	0	0	0	0	0	448	31346	3018	15555	12215	49
app-add-forward	General	true	25	3	3	0	0	0	5	3	3	14	63	11	11	7	25	26	3	3	3	1	1	2	0	0	0	0	0	0	471	30269	3391	10765	6673	46
app-add-forward	Local	true	25	3	3	0	0	0	5	3	3	14	63	11	11	7	25	26	3	3	3	1	1	2	0	0	0	0	0	0	471	30269	3389	10763	6671	41
app-add-forward	Cached	true	25	3	3	0	3	3	5	3	3	14	63	11	11	7	25	26	3	3	3	1	1	2	0	0	0	0	0	0	501	33252	3390	16709	14503	33
app-add-left	General	true	55	6	6	0	0	0	8	6	6	36	111	41	33	13	49	162	6	6	6	1	1	2	0	0	0	0	0	0	1607	77515	3385	12529	6373	104
app-add-left	Local	true	55	6	6	0	0	0	8	6	6	36	111	41	33	13	49	162	6	6	6	1	1	2	0	0	0	0	0	0	1607	77515	3383	12527	6371	104
app-add-left	Cached	true	55	6	6	0	6	6	8	6	6	36	111	41	33	13	49	162	6	6	6	1	1	2	0	0	0	0	0	0	1667	82985	3384	26890	21634	110
app-add-repeated	General	true	46	5	5	0	0	0	7	5	5	39	91	28	25	11	41	110	5	5	5	1	1	2	0	0	0	0	0	0	849	54497	3196	11242	6184	64
app-add-repeated	Local	true	46	5	5	0	0	0	7	5	5	39	91	28	25	11	41	110	5	5	5	1	1	2	0	0	0	0	0	0	849	54497	3194	11240	6182	64
app-add-repeated	Cached	true	46	5	5	0	5	5	7	5	5	39	91	28	25	11	41	110	5	5	5	1	1	2	0	0	0	0	0	0	864	58398	3195	21025	16748	42
app-add-right	General	true	25	3	3	0	0	0	5	3	3	12	63	13	16	7	25	26	3	3	3	1	1	2	0	0	0	0	0	0	541	31843	3387	10701	6473	45
app-add-right	Local	true	25	3	3	0	0	0	5	3	3	12	63	13	16	7	25	26	3	3	3	1	1	2	0	0	0	0	0	0	541	31843	3385	10699	6471	47
app-add-right	Cached	true	25	3	3	0	3	3	5	3	3	12	63	13	16	7	25	26	3	3	3	1	1	2	0	0	0	0	0	0	561	34628	3386	16852	13709	44
app-infer-identity	General	true	54	5	5	0	0	0	6	5	5	49	190	32	25	16	61	97	5	10	10	1	1	3	0	0	0	0	0	0	924	71454	3893	16099	7620	80
app-infer-identity	Local	true	54	5	5	0	0	0	6	5	5	49	190	32	25	16	61	97	5	10	10	1	1	3	0	0	0	0	0	0	924	71454	3891	16097	7618	72
app-infer-identity	Cached	true	54	5	5	0	5	5	6	5	5	49	190	32	25	16	61	97	5	10	10	1	1	3	0	0	0	0	0	0	943	75652	3892	31592	26979	72
app-sk-duplication	General	true	431	19	19	0	0	0	30	28	19	449	1797	475	430	77	587	6264	19	117	117	1	1	5	0	0	0	0	0	0	29396	1768530	13885	90088	27678	1731
app-sk-duplication	Local	true	431	19	19	0	0	0	30	19	19	449	1797	475	430	77	587	6264	19	117	117	1	1	5	0	0	0	0	0	0	29391	1768434	13883	90086	27676	1806
app-sk-duplication	Cached	true	431	19	19	0	19	19	30	19	19	449	1797	475	430	77	587	6264	19	117	117	1	1	5	0	0	0	0	0	0	29517	1787087	13884	268785	222092	1952
app-sk-identity	General	true	177	7	7	0	0	0	14	8	7	152	746	190	111	29	243	872	7	49	49	1	1	5	0	0	0	0	0	0	6188	375643	13340	53103	26545	447
app-sk-identity	Local	true	177	7	7	0	0	0	14	7	7	152	746	190	111	29	243	872	7	49	49	1	1	5	0	0	0	0	0	0	6187	375635	13338	53101	26543	284
app-sk-identity	Cached	true	177	7	7	0	7	7	14	7	7	152	746	190	111	29	243	872	7	49	49	1	1	5	0	0	0	0	0	0	6236	382275	13339	124422	106009	415
app-sk-ignored-hole	General	true	546	32	32	0	0	0	76	142	76	619	2243	585	568	90	725	8862	33	141	141	1	1	5	0	0	0	0	0	0	46573	2686272	14888	109125	29253	2636
app-sk-ignored-hole	Local	true	546	32	32	0	0	0	76	76	76	619	2243	585	568	90	725	8862	33	141	141	1	1	5	0	0	0	0	0	0	46546	2685784	14886	109123	29251	2508
app-sk-ignored-hole	Cached	true	546	32	32	0	32	32	76	76	76	619	2243	585	568	90	725	8862	33	141	141	1	1	5	0	0	0	0	0	0	46732	2711614	14887	324954	269933	2974
app-sub	General	true	27	4	4	0	0	0	7	5	4	12	69	13	16	7	26	26	4	3	3	1	1	2	0	0	0	0	0	0	618	35667	3375	10689	6461	32
app-sub	Local	true	27	4	4	0	0	0	7	4	4	12	69	13	16	7	26	26	4	3	3	1	1	2	0	0	0	0	0	0	617	35659	3373	10687	6459	49
app-sub	Cached	true	27	4	4	0	4	4	7	4	4	12	69	13	16	7	26	26	4	3	3	1	1	2	0	0	0	0	0	0	654	39421	3374	18493	15350	51
app-type-synthesis-prefix	General	true	12	1	1	0	0	0	2	1	1	9	44	8	7	4	13	1	1	2	0	1	1	3	2	0	2	3	0	0	239	17171	3813	12787	10547	26
app-type-synthesis-prefix	Local	true	12	1	1	0	0	0	2	1	1	9	44	8	7	4	13	1	1	2	0	1	1	3	2	0	2	3	0	0	239	17171	3811	12785	10545	26
app-type-synthesis-prefix	Cached	true	12	1	1	0	1	1	2	1	1	9	44	8	7	4	13	1	1	2	0	1	1	3	2	0	2	3	0	0	248	18548	3812	14784	13485	25
