case	mode	pass	steps	pairs	root_reads	output_root_reads	absence_visits	occurs_visits	splits	copied_entries	completed_regions	failed_regions	eager_projection_visits	output_projection_visits	eager_nodes	bindings	raw	answers	max_frontier	retained_regions	observer_pairs	observer_scans	observer_backtracks	allocation_calls	construct_requested	solve_requested	observe_requested	requested_bytes	baseline_live	peak_live	final_live	construct_us	solve_us	observe_us
prefix-k1-w0	Named	true	3	2	4	6	3	0	0	0	1	0	0	2	0	1	2	2	1	1	1	0	0	38	432	1008	1350	2790	1075	3105	2641	1	1	2
prefix-k1-w1	Eager	true	8	6	26	4	2	0	0	0	2	0	12	2	12	2	2	2	2	2	1	0	0	83	578	2330	1494	4402	1075	3733	3269	2	4	3
prefix-k1-w1	Named	true	4	3	6	6	3	0	0	0	1	0	0	2	0	1	2	2	1	1	1	0	0	44	578	1008	1350	2936	1075	3251	2787	1	2	2
prefix-k1-w8	Eager	true	22	20	82	4	2	0	0	0	2	0	40	2	40	2	2	2	2	2	1	0	0	212	1600	4782	1494	7876	1075	6561	4291	4	11	2
prefix-k1-w8	Named	true	11	10	20	6	3	0	0	0	1	0	0	2	0	1	2	2	1	1	1	0	0	89	1600	1416	1350	4366	1075	4273	3809	4	3	4
prefix-k1-w64	Eager	true	134	132	530	4	2	0	0	0	2	0	264	2	264	2	2	2	2	2	1	0	0	1238	9776	23198	1494	34468	1076	33154	12468	19	71	2
prefix-k1-w64	Named	true	67	66	132	6	3	0	0	0	1	0	0	2	0	1	2	2	1	1	1	0	0	443	9776	3480	1350	14606	1076	13748	11986	19	8	4
prefix-k1-w256	Eager	true	518	516	2066	4	2	0	0	0	2	0	1032	2	1032	2	2	2	2	2	1	0	0	4757	37808	86582	1494	125884	1077	124571	40501	76	288	2
prefix-k1-w256	Named	true	259	258	516	6	3	0	0	0	1	0	0	2	0	1	2	2	1	1	1	0	0	1658	37808	10800	1350	49958	1077	49101	40019	74	29	2
prefix-k2-w0	Eager	true	16	12	56	16	8	0	0	0	4	0	24	8	24	8	4	4	4	4	8	0	0	148	714	4696	3072	8482	1549	5959	5495	1	9	4
prefix-k2-w0	Named	true	4	3	6	24	6	0	0	0	1	0	0	8	0	2	4	4	1	1	8	0	0	73	714	1208	2784	4706	1549	4383	3919	2	2	6
prefix-k2-w1	Eager	true	20	16	72	16	8	0	0	0	4	0	32	8	32	8	4	4	4	4	8	0	0	180	860	5584	3072	9516	1549	6105	5641	1	10	4
prefix-k2-w1	Named	true	5	4	8	24	6	0	0	0	1	0	0	8	0	2	4	4	1	1	8	0	0	81	860	1512	2784	5156	1549	4529	4065	3	3	6
prefix-k2-w8	Eager	true	48	44	184	16	8	0	0	0	4	0	88	8	88	8	4	4	4	4	8	0	0	392	1882	9880	3072	14834	1549	11087	6663	2	20	5
prefix-k2-w8	Named	true	12	11	22	24	6	0	0	0	1	0	0	8	0	2	4	4	1	1	8	0	0	125	1882	1720	2784	6386	1549	5551	5087	3	6	5
