case	mode	pass	steps	applications	introductions	equations	pairs	dereferences	occurs	head_candidates	splits	failed	raw	answers	max_frontier	pending	map_visits	map_allocations	snapshot_copies	pending_allocations	term_requests	term_nodes	observer_pairs	observer_scans	allocation_calls	requested_bytes	baseline_live	peak_live	final_live	elapsed_us
grid-carry-k0-w0-n16	Persistent	true	18	0	17	0	0	0	0	1	0	0	1	1	1	0	72	74	0	17	138	17	0	0	1341	44084	18948	41878	40078	96
grid-carry-k0-w0-n16	Copy	true	18	0	17	0	0	0	0	1	0	0	1	1	1	0	72	74	0	17	138	17	0	0	1341	44084	18948	41878	40078	86
grid-carry-k0-w0-n128	Persistent	true	130	0	129	0	0	0	0	1	0	0	1	1	1	0	772	891	0	129	8258	129	0	0	67911	1531516	832853	1703287	1689839	3975
grid-carry-k0-w0-n128	Copy	true	130	0	129	0	0	0	0	1	0	0	1	1	1	0	772	891	0	129	8258	129	0	0	67911	1531516	832853	1703287	1689839	2962
grid-carry-k0-w1-n0	Persistent	true	4	1	2	0	0	0	0	2	0	0	1	1	1	0	6	3	0	2	3	3	0	0	79	4581	3269	6029	5813	15
grid-carry-k0-w1-n0	Copy	true	4	1	2	0	0	0	0	2	0	0	1	1	1	0	6	3	0	2	3	3	0	0	79	4581	3269	6029	5813	3
grid-carry-k0-w1-n16	Persistent	true	20	1	18	0	0	0	0	2	0	0	1	1	1	0	85	79	0	18	139	17	0	0	1361	45124	18997	42007	40127	52
grid-carry-k0-w1-n16	Copy	true	20	1	18	0	0	0	0	2	0	0	1	1	1	0	85	79	0	18	139	17	0	0	1361	45124	18997	42007	40127	52
grid-carry-k0-w1-n128	Persistent	true	132	1	130	0	0	0	0	2	0	0	1	1	1	0	785	900	0	130	8259	129	0	0	67935	1532844	832902	1703416	1689888	2723
grid-carry-k0-w1-n128	Copy	true	132	1	130	0	0	0	0	2	0	0	1	1	1	0	785	900	0	130	8259	129	0	0	67935	1532844	832902	1703416	1689888	3472
grid-carry-k0-w8-n0	Persistent	true	18	8	9	0	0	0	0	9	0	0	1	1	1	0	55	37	0	9	10	10	0	0	256	14620	3612	8430	7654	33
grid-carry-k0-w8-n0	Copy	true	18	8	9	0	0	0	0	9	0	0	1	1	1	0	55	37	0	9	10	10	0	0	256	14620	3612	8430	7654	19
grid-carry-k0-w8-n16	Persistent	true	34	8	25	0	0	0	0	9	0	0	1	1	1	0	206	141	0	25	146	17	0	0	1548	54508	19340	42910	40470	109
grid-carry-k0-w8-n16	Copy	true	34	8	25	0	0	0	0	9	0	0	1	1	1	0	206	141	0	25	146	17	0	0	1548	54508	19340	42910	40470	101
grid-carry-k0-w8-n128	Persistent	true	146	8	137	0	0	0	0	9	0	0	1	1	1	0	906	975	0	137	8266	129	0	0	68136	1543172	833245	1704319	1690231	3552
grid-carry-k0-w8-n128	Copy	true	146	8	137	0	0	0	0	9	0	0	1	1	1	0	906	975	0	137	8266	129	0	0	68136	1543172	833245	1704319	1690231	3699
