case	mode	quantum	limit	status	factors	answers	raw_products	owner_turns	source_turns	applications	products	product_jobs	duplicates	refutations	issued	received	accepted	max_outstanding	owner_buffered_peak	outstanding	buffered	unaccepted_at_shutdown	actual_source_steps	accepted_source_steps	cancelled_requests	unserved_quantum_slots	prefetch_visits
H03-constructor-wakeup	Inline	8	4	pass	1	1	1	1	1	2	1	0	0	0	1	1	1	1	1	0	0	0	7	7	0	0	1
H03-constructor-wakeup	Threads(1)	8	4	pass	1	1	1	1	1	2	1	0	0	0	1	1	1	1	1	0	0	0	7	7	0	0	1
H03-constructor-wakeup	Threads(2)	8	4	pass	1	1	1	1	1	2	1	0	0	0	1	1	1	1	1	0	0	0	7	7	0	0	1
H04-inherited-history	Baseline	1	0	pass	2	2	2	13	11	2	2	2	0	0	0	0	0	0	0	0	0	0	11	11	0	0	0
H04-inherited-history	Inline	1	4	pass	2	2	2	13	11	2	2	2	0	0	11	11	11	2	2	0	0	0	11	11	0	0	24
H04-inherited-history	Threads(1)	1	4	pass	2	2	2	13	11	2	2	2	0	0	11	11	11	2	1	0	0	0	11	11	0	0	24
H04-inherited-history	Threads(2)	1	4	pass	2	2	2	13	11	2	2	2	0	0	11	11	11	2	2	0	0	0	11	11	0	0	24
H04-inherited-history	Inline	8	4	pass	2	2	2	4	2	2	2	2	0	0	2	2	2	2	2	0	0	0	11	11	0	0	4
H04-inherited-history	Threads(1)	8	4	pass	2	2	2	4	2	2	2	2	0	0	2	2	2	2	1	0	0	0	11	11	0	0	4
H04-inherited-history	Threads(2)	8	4	pass	2	2	2	4	2	2	2	2	0	0	2	2	2	2	1	0	0	0	11	11	0	0	4
H05-conditional-history	Baseline	1	0	pass	1	2	2	10	10	2	2	0	0	0	0	0	0	0	0	0	0	0	10	10	0	0	0
H05-conditional-history	Inline	1	4	pass	1	2	2	10	10	2	2	0	0	0	10	10	10	1	1	0	0	0	10	10	0	0	10
H05-conditional-history	Threads(1)	1	4	pass	1	2	2	10	10	2	2	0	0	0	10	10	10	1	1	0	0	0	10	10	0	0	10
H05-conditional-history	Threads(2)	1	4	pass	1	2	2	10	10	2	2	0	0	0	10	10	10	1	1	0	0	0	10	10	0	0	10
H05-conditional-history	Inline	8	4	pass	1	2	2	2	2	2	2	0	0	0	2	2	2	1	1	0	0	0	10	10	0	0	2
H05-conditional-history	Threads(1)	8	4	pass	1	2	2	2	2	2	2	0	0	0	2	2	2	1	1	0	0	0	10	10	0	0	2
H05-conditional-history	Threads(2)	8	4	pass	1	2	2	2	2	2	2	0	0	0	2	2	2	1	1	0	0	0	10	10	0	0	2
H06-conditional-consumption	Baseline	1	0	pass	1	2	2	10	10	2	2	0	0	0	0	0	0	0	0	0	0	0	10	10	0	0	0
H06-conditional-consumption	Inline	1	4	pass	1	2	2	10	10	2	2	0	0	0	10	10	10	1	1	0	0	0	10	10	0	0	10
H06-conditional-consumption	Threads(1)	1	4	pass	1	2	2	10	10	2	2	0	0	0	10	10	10	1	1	0	0	0	10	10	0	0	10
H06-conditional-consumption	Threads(2)	1	4	pass	1	2	2	10	10	2	2	0	0	0	10	10	10	1	1	0	0	0	10	10	0	0	10
H06-conditional-consumption	Inline	8	4	pass	1	2	2	2	2	2	2	0	0	0	2	2	2	1	1	0	0	0	10	10	0	0	2
H06-conditional-consumption	Threads(1)	8	4	pass	1	2	2	2	2	2	2	0	0	0	2	2	2	1	1	0	0	0	10	10	0	0	2
H06-conditional-consumption	Threads(2)	8	4	pass	1	2	2	2	2	2	2	0	0	0	2	2	2	1	1	0	0	0	10	10	0	0	2
M01-committed	Baseline	1	0	pass	1	1	1	4	4	1	1	0	0	0	0	0	0	0	0	0	0	0	4	4	0	0	0
M01-committed	Inline	1	4	pass	1	1	1	4	4	1	1	0	0	0	4	4	4	1	1	0	0	0	4	4	0	0	4
M01-committed	Threads(1)	1	4	pass	1	1	1	4	4	1	1	0	0	0	4	4	4	1	1	0	0	0	4	4	0	0	4
M01-committed	Threads(2)	1	4	pass	1	1	1	4	4	1	1	0	0	0	4	4	4	1	1	0	0	0	4	4	0	0	4
M01-committed	Inline	8	4	pass	1	1	1	1	1	1	1	0	0	0	1	1	1	1	1	0	0	0	4	4	0	0	1
M01-committed	Threads(1)	8	4	pass	1	1	1	1	1	1	1	0	0	0	1	1	1	1	1	0	0	0	4	4	0	0	1
M01-committed	Threads(2)	8	4	pass	1	1	1	1	1	1	1	0	0	0	1	1	1	1	1	0	0	0	4	4	0	0	1
M02-nonbinding	Baseline	1	0	pass	1	1	1	2	2	0	1	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0
M02-nonbinding	Inline	1	4	pass	1	1	1	2	2	0	1	0	0	0	2	2	2	1	1	0	0	0	2	2	0	0	2
M02-nonbinding	Threads(1)	1	4	pass	1	1	1	2	2	0	1	0	0	0	2	2	2	1	1	0	0	0	2	2	0	0	2
M02-nonbinding	Threads(2)	1	4	pass	1	1	1	2	2	0	1	0	0	0	2	2	2	1	1	0	0	0	2	2	0	0	2
M02-nonbinding	Inline	8	4	pass	1	1	1	1	1	0	1	0	0	0	1	1	1	1	1	0	0	0	2	2	0	0	1
M02-nonbinding	Threads(1)	8	4	pass	1	1	1	1	1	0	1	0	0	0	1	1	1	1	1	0	0	0	2	2	0	0	1
M02-nonbinding	Threads(2)	8	4	pass	1	1	1	1	1	0	1	0	0	0	1	1	1	1	1	0	0	0	2	2	0	0	1
U01-clash	Baseline	1	0	pass	1	0	0	3	3	1	0	0	0	1	0	0	0	0	0	0	0	0	3	3	0	0	0
U01-clash	Inline	1	4	pass	1	0	0	3	3	1	0	0	0	1	3	3	3	1	1	0	0	0	3	3	0	0	3
U01-clash	Threads(1)	1	4	pass	1	0	0	3	3	1	0	0	0	1	3	3	3	1	1	0	0	0	3	3	0	0	3
