mode,family,n,reuse,requested_bytes,peak_above_start,wall_median_ns,wall_min_ns,wall_max_ns
fused-special,choices,1,1,40411,16691,45697,44027,52656
fused-special,choices,1,4,95044,16691,98848,93592,141382
fused-special,choices,3,1,110051,48933,118437,99765,124072
fused-special,choices,3,4,361088,48933,204247,197817,425480
fused-special,duplicates,0,1,22176,9925,22971,13122,26772
fused-special,duplicates,0,4,34740,9925,34247,33734,70482
fused-special,duplicates,1,1,39659,16182,43878,43093,52590
fused-special,duplicates,1,4,92036,16182,91742,53860,98552
fused-special,duplicates,3,1,107625,46750,119336,79040,127146
fused-special,duplicates,3,4,351384,46750,338264,197969,345807
fused-special,shared,0,1,22176,9925,23542,15541,30287
fused-special,shared,0,4,34740,9925,34105,17961,34920
fused-special,shared,1,1,40411,16691,44021,31290,47222
fused-special,shared,1,4,95044,16691,93886,90233,96117
fused-special,shared,3,1,77327,28552,90247,88543,95033
fused-special,shared,3,4,230192,28552,224908,220467,260990
fused-special,spare,0,1,27765,10555,36408,34013,38929
fused-special,spare,0,4,53607,10555,60230,33928,63991
fused-special,spare,1,1,37232,12954,51292,49445,70326
fused-special,spare,1,4,81089,12954,94154,53909,102800
fused-special,spare,3,1,52628,16330,73128,68075,138191
fused-special,spare,3,4,128525,16330,156726,153873,168905
fused-contextual,plain,0,1,9860,5799,12708,6923,12983
fused-contextual,plain,0,4,14126,5799,17804,11248,18739
fused-contextual,plain,1,1,32416,8439,32831,18602,41704
fused-contextual,plain,1,4,73561,8439,55658,31731,61285
fused-contextual,plain,3,1,871654,118586,366893,237046,373695
fused-contextual,plain,3,4,2290633,118586,929451,580233,958268
fused-contextual,choices,0,1,11747,7055,14509,14253,18814
fused-contextual,choices,0,4,16013,7055,19124,13746,20613
fused-contextual,choices,1,1,38631,11766,37893,37394,40214
fused-contextual,choices,1,4,92052,11766,71638,40180,78209
fused-contextual,choices,3,1,1109629,172429,505462,484892,604124
fused-contextual,choices,3,4,3236164,172429,888199,877852,1433152
fused-contextual,duplicates,0,1,11747,7055,14193,7892,14363
fused-contextual,duplicates,0,4,16013,7055,19642,10805,19801
fused-contextual,duplicates,1,1,38631,11766,40750,37914,49151
fused-contextual,duplicates,1,4,92052,11766,70773,47465,84100
fused-contextual,duplicates,3,1,1109629,172429,463593,312138,509934
fused-contextual,duplicates,3,4,3236164,172429,1426651,894087,1445543
fused-contextual,shared,0,1,11747,7055,14333,7922,14632
fused-contextual,shared,0,4,16013,7055,18986,10353,19531
fused-contextual,shared,1,1,38631,11766,37274,21142,40298
fused-contextual,shared,1,4,92052,11766,76361,41818,82436
fused-contextual,shared,3,1,1074489,172429,299581,284864,478533
fused-contextual,shared,3,4,3095604,172429,957408,810126,1372112
fused-contextual,spare,0,1,17804,7683,21727,15400,23001
fused-contextual,spare,0,4,33986,7683,37486,35725,45028
fused-contextual,spare,1,1,272880,42794,138081,83742,167525
fused-contextual,spare,1,4,676173,42794,307732,195488,336907
fused-contextual,spare,3,1,4190342,531666,986977,964609,1663050
fused-contextual,spare,3,4,11514893,531666,2652814,2551579,3046123
fused-shared,plain,0,1,9860,5719,13292,13143,15691
fused-shared,plain,0,4,14126,5719,18815,18029,27931
fused-shared,plain,1,1,32440,8383,33895,32923,40677
fused-shared,plain,1,4,73657,8383,57007,56132,74785
fused-shared,plain,3,1,872883,118506,372291,227483,376947
fused-shared,plain,3,4,2295549,118506,764397,571665,945394
fused-shared,choices,0,1,11747,6975,14179,10697,14416
fused-shared,choices,0,4,16013,6975,20312,18968,20677
fused-shared,choices,1,1,38231,11286,38979,37913,39791
fused-shared,choices,1,4,90452,11286,72372,40277,77293
fused-shared,choices,3,1,1113167,172293,501938,334732,519699
fused-shared,choices,3,4,3250316,172293,977482,905991,1238512
fused-shared,duplicates,0,1,11747,6975,14037,7874,15334
fused-shared,duplicates,0,4,16013,6975,19728,19283,21189
fused-shared,duplicates,1,1,38231,11286,38803,37735,52552
fused-shared,duplicates,1,4,90452,11286,72173,48229,100254
