kind,rep,family,mode,reuse,total_ns,execution_ns,setup_ns,preparation_ns,disposal_ns,first_cold_ns,cancel_ns,requested_bytes,peak_increment_bytes
time,1,unique,graph,8,32668088,32273990,173824,25251,195023,394113,383572,,
time,1,before-success,exact,1,180325,108504,34360,27278,10183,148086,159429,,
time,1,after-success,direct,1,166614,95526,34937,26613,9538,135309,124458,,
time,1,before-clash,indexed,1,488677,410653,37784,36072,4168,,387232,,
time,1,before-clash,dependencies,8,607002,236559,314133,22899,33411,,73163,,
time,2,after-clash,ordinary,8,822162,450519,316023,22592,33028,,95633,,
time,2,after-clash,indexed,8,3965590,3576143,343214,40238,5995,,527428,,
time,2,after-clash,ordinary,1,108163,51319,35282,14517,7045,,101412,,
time,2,after-success,ordinary,8,1145618,721316,286452,15292,122558,118214,116383,,
time,2,unique,conditional,1,9905323,9789339,45467,52820,17697,9676221,9583842,,
time,2,before-success,dependencies,8,1211471,763169,300902,16832,130568,123399,119055,,
time,2,before-success,conditional,8,8475146,7907646,399376,36611,131513,927617,867221,,
time,2,unique,exact,1,200267,113228,35417,37380,14242,164611,153762,,
time,2,unique,graph,1,4106325,4031660,18427,42096,14142,399231,394332,,
time,2,after-success,conditional,8,70651237,70097498,396612,27746,129381,8622516,8655526,,
time,2,after-success,conditional,1,8583649,8475851,47614,44477,15707,8351900,8372553,,
time,2,before-success,dependencies,1,168323,94330,35774,28541,9678,135599,125640,,
time,2,unique,conditional,8,74550545,73941017,394549,29121,185858,9099928,8924894,,
time,2,trivial,direct,8,651206,590316,9169,23319,28402,74587,57836,,
time,2,unique,dependencies,8,2036941,1546710,309770,24479,155982,227947,217951,,
time,2,trivial,dependencies,8,667633,609598,9000,19769,29266,73521,58275,,
time,2,before-clash,conditional,8,1021680,589316,358264,33908,40192,,120276,,
time,2,trivial,ordinary,8,638138,581435,8666,19278,28759,67367,65488,,
time,2,trivial,graph,8,14780393,14702140,12931,20604,44718,296664,290956,,
time,2,before-success,graph,8,13631165,13348116,209207,17028,56814,358073,344069,,
time,2,unique,dependencies,1,297489,199990,41677,43720,12102,263768,238901,,
time,2,before-clash,direct,1,76529,26734,31379,11963,6453,,71527,,
time,2,after-success,graph,8,32396871,32071005,234764,29469,61633,379703,368094,,
time,2,before-clash,exact,1,83950,31314,33157,12623,6856,,72200,,
